page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url
1018_home,2,85,87,0.022988505747126436,1018,sjr_21100228068,1018,Wiley Interdisciplinary Reviews: Data Mining and Knowledge Discovery,journal,"19424795, 19424787","2,330",Q1,62,45,132,5005,1698,130,"10,30","111,22",United States,Northern America,John Wiley &amp; Sons Inc.,2011-2022,Computer Science (miscellaneous) (Q1),Computer Science,https://onlinelibrary.wiley.com/journal/19424795
1019_home,6,413,419,0.014319809069212411,1019,sjr_5300152533,1019,Research Methodology in Strategy and Management,book series,14798387,"2,326",Q1,22,0,26,0,42,9,"0,59","0,00",United Kingdom,Western Europe,Emerald Group Publishing Ltd.,"2004, 2006-2007, 2009, 2011, 2014, 2019, 2021",Strategy and Management (Q1),"Business, Management and Accounting",https://www.emeraldgrouppublishing.com/products/books/series.htm?id=1479-8387
101_home,2,76,78,0.02564102564102564,101,sjr_23157,101,Strategic Management Journal,journal,"10970266, 01432095","8,497",Q1,318,122,278,9819,2915,275,"8,78","80,48",United Kingdom,Western Europe,John Wiley and Sons Ltd,1980-2022,Business and International Management (Q1); Strategy and Management (Q1),"Business, Management and Accounting",https://onlinelibrary.wiley.com/journal/10970266
1020_home,7,804,811,0.008631319358816275,1020,sjr_13096,1020,BMC Biology,journal,17417007,"2,324",Q1,121,286,556,22160,3495,548,"5,04","77,48",United Kingdom,Western Europe,BioMed Central Ltd.,2003-2022,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Biotechnology (Q1); Cell Biology (Q1); Developmental Biology (Q1); Ecology, Evolution, Behavior and Systematics (Q1); Physiology (Q1); Plant Science (Q1); Structural Biology (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",https://bmcbiol.biomedcentral.com/
1021_home,9,1133,1142,0.00788091068301226,1021,sjr_19900192160,1021,Epidemiology and Psychiatric Sciences,journal,"20457979, 20457960","2,324",Q1,62,88,325,3958,2058,297,"6,78","44,98",United Kingdom,Western Europe,Cambridge University Press,2011-2022,"Epidemiology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences
1022_home,4,117,121,0.03305785123966942,1022,sjr_3900148209,1022,International Journal of Clinical and Health Psychology,journal,16972600,"2,324",Q1,51,38,89,1720,836,89,"11,37","45,26",Spain,Western Europe,Elsevier BV,2005-2023,Clinical Psychology (Q1),Psychology,https://www.journals.elsevier.com/international-journal-of-clinical-and-health-psychology
1023_home,2,85,87,0.022988505747126436,1023,sjr_18429,1023,Chest,journal,"00123692, 19313543","2,322",Q1,315,649,2356,14179,9408,1409,"3,86","21,85",United States,Northern America,American College of Chest Physicians,1970-2022,Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1),Medicine,http://chestjournal.chestpubs.org/
1024_home,14,341,355,0.03943661971830986,1024,sjr_19877,1024,Journal of Democracy,journal,"10455736, 10863214","2,322",Q1,98,55,156,1082,649,119,"3,07","19,67",United States,Northern America,Johns Hopkins University Press,1996-2022,Sociology and Political Science (Q1),Social Sciences,https://www.journalofdemocracy.org/
1025_home,4,117,121,0.03305785123966942,1025,sjr_14735,1025,Government Information Quarterly,journal,0740624X,"2,321",Q1,123,91,212,7756,2587,206,"9,37","85,23",United Kingdom,Western Europe,Elsevier Ltd.,1984-2022,E-learning (Q1); Law (Q1); Library and Information Sciences (Q1); Sociology and Political Science (Q1),Social Sciences,https://www.journals.elsevier.com/government-information-quarterly
1026_home,2,85,87,0.022988505747126436,1026,sjr_3600148105,1026,Human Resource Management Journal,journal,09545395,"2,321",Q1,89,86,141,6101,1133,140,"7,16","70,94",United States,Northern America,Wiley-Blackwell,1990-2022,Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting",https://onlinelibrary.wiley.com/journal/17488583
1027_home,3,36,39,0.07692307692307693,1027,sjr_17337,1027,IEEE Transactions on Antennas and Propagation,journal,"15582221, 0018926X","2,317",Q1,221,1291,2727,44646,17783,2705,"6,19","34,58",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,1963-2022,Condensed Matter Physics (Q1); Electrical and Electronic Engineering (Q1),Engineering; Physics and Astronomy,https://ieeexplore.ieee.org/xpl/RecentIssue.jsp?punumber=8
1028_home,4,117,121,0.03305785123966942,1028,sjr_22497,1028,Journal of Second Language Writing,journal,10603743,"2,314",Q1,96,36,103,1371,607,87,"6,09","38,08",United Kingdom,Western Europe,Elsevier Ltd.,1992-2022,Education (Q1); Linguistics and Language (Q1),Social Sciences,https://www.journals.elsevier.com/journal-of-second-language-writing
1029_home,6,674,680,0.008823529411764706,1029,sjr_29561,1029,Journals of Gerontology - Series B Psychological Sciences and Social Sciences,journal,"10795014, 17585368","2,311",Q1,169,272,694,8433,4446,676,"6,87","31,00",United States,Northern America,Gerontological Society of America,1995-2022,Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1),Medicine; Nursing; Psychology; Social Sciences,https://academic.oup.com/psychsocgerontology
102_home,2,85,87,0.022988505747126436,102,sjr_14181,102,Annual Review of Neuroscience,journal,"0147006X, 15454126","8,389",Q1,256,27,72,4087,1166,72,"14,22","151,37",United States,Northern America,Annual Reviews Inc.,1978-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.annualreviews.org/journal/neuro
1030_home,2,830,832,0.002403846153846154,1030,sjr_12523,1030,Oncogene,journal,"14765594, 09509232","2,311",Q1,360,439,1522,22776,11777,1513,"7,36","51,88",United Kingdom,Western Europe,Nature Publishing Group,1987-2022,Cancer Research (Q1); Genetics (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.nature.com/onc/
1031_home,1,890,891,0.001122334455667789,1031,sjr_23796,1031,Journal fur die Reine und Angewandte Mathematik,journal,"00754102, 14355345","2,310",Q1,72,101,321,3614,522,321,"1,23","35,78",Germany,Western Europe,Walter de Gruyter GmbH,"1826-1921, 1923-1943, 1949-2022",Applied Mathematics (Q1); Mathematics (miscellaneous) (Q1),Mathematics,https://www.degruyter.com/view/journals/crll/crll-overview.xml
1032_home,5,299,304,0.01644736842105263,1032,sjr_19017,1032,RNA,journal,"13558382, 14699001","2,309",Q1,187,121,416,7131,1906,415,"4,29","58,93",United States,Northern America,Cold Spring Harbor Laboratory Press,1995-2022,Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://rnajournal.cshlp.org/
1033_home,20,495,515,0.038834951456310676,1033,sjr_21100934923,1033,IEEE Communications Standards Magazine,journal,24712825,"2,306",Q1,28,66,169,675,765,128,"4,99","10,23",United States,Northern America,Institute of Electrical and Electronics Engineers Inc.,2017-2022,"Computer Networks and Communications (Q1); Law (Q1); Management of Technology and Innovation (Q1); Safety, Risk, Reliability and Quality (Q1)","Business, Management and Accounting; Computer Science; Engineering; Social Sciences",https://www.comsoc.org/publications/magazines/ieee-communications-standards-magazine
1034_home,4,117,121,0.03305785123966942,1034,sjr_21101055861,1034,"Resources, Environment and Sustainability",journal,26669161,"2,306",Q1,14,35,37,1865,515,37,"13,92","53,29",Netherlands,Western Europe,Elsevier BV,2020-2022,"Environmental Engineering (Q1); Environmental Science (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1); Pollution (Q1)",Environmental Science,https://www.sciencedirect.com/journal/resources-environment-and-sustainability
1035_home,4,117,121,0.03305785123966942,1035,sjr_19700194105,1035,Sustainable Cities and Society,journal,22106707,"2,305",Q1,103,804,2070,55848,26158,2069,"12,94","69,46",Netherlands,Western Europe,Elsevier BV,2011-2022,"Civil and Structural Engineering (Q1); Geography, Planning and Development (Q1); Renewable Energy, Sustainability and the Environment (Q1); Transportation (Q1)",Energy; Engineering; Social Sciences,https://www.journals.elsevier.com/sustainable-cities-and-society
1036_home,6,92,98,0.061224489795918366,1036,sjr_21101023196,1036,International Journal of Extreme Manufacturing,journal,"26317990, 26318644","2,304",Q1,28,45,91,4096,1110,90,"13,14","91,02",United Kingdom,Western Europe,IOP Publishing Ltd.,2019-2022,Industrial and Manufacturing Engineering (Q1),Engineering,https://iopscience.iop.org/journal/2631-7990
1037_home,22,600,622,0.03536977491961415,1037,sjr_21101072502,1037,NAR Genomics and Bioinformatics,journal,26319268,"2,304",Q1,19,68,245,3619,1078,243,"4,41","53,22",United Kingdom,Western Europe,Oxford University Press,2019-2022,Applied Mathematics (Q1); Computer Science Applications (Q1); Genetics (Q1); Molecular Biology (Q1); Structural Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics",https://academic.oup.com/nargab
1038_home,2,76,78,0.02564102564102564,1038,sjr_26746,1038,Trends in Endocrinology and Metabolism,journal,"10432760, 18793061","2,304",Q1,189,73,291,6654,2492,280,"8,28","91,15",United States,Northern America,Elsevier Inc.,1989-2022,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",https://www.cell.com/trends/endocrinology-metabolism/home
1039_home,2,85,87,0.022988505747126436,1039,sjr_5600155055,1039,Review of Public Personnel Administration,journal,0734371X,"2,303",Q1,54,61,92,4880,682,92,"6,75","80,00",United States,Northern America,SAGE Publications Inc.,1980-2022,Organizational Behavior and Human Resource Management (Q1); Public Administration (Q1),"Business, Management and Accounting; Social Sciences",https://journals.sagepub.com/home/rop
103_home,1,343,344,0.0029069767441860465,103,sjr_24204,103,Review of Economics and Statistics,journal,"00346535, 15309142","8,371",Q1,189,90,197,4125,1240,197,"5,52","45,83",United States,Northern America,MIT Press Journals,1978-2022,Economics and Econometrics (Q1); Social Sciences (miscellaneous) (Q1),"Economics, Econometrics and Finance; Social Sciences",http://www.mitpressjournals.org/loi/rest
1040_home,2,76,78,0.02564102564102564,1040,sjr_21100241659,1040,Annals of the American Thoracic Society,journal,23256621,"2,300",Q1,131,346,959,7768,3516,580,"3,95","22,45",United States,Northern America,American Thoracic Society,2013-2022,Pulmonary and Respiratory Medicine (Q1),Medicine,https://www.atsjournals.org/journal/annalsats
1041_home,4,117,121,0.03305785123966942,1041,sjr_28635,1041,Composites Part B: Engineering,journal,13598368,"2,300",Q1,184,747,2935,45327,37642,2923,"14,04","60,68",United Kingdom,Western Europe,Elsevier Ltd.,1996-2022,Ceramics and Composites (Q1); Industrial and Manufacturing Engineering (Q1); Mechanical Engineering (Q1); Mechanics of Materials (Q1),Engineering; Materials Science,https://www.sciencedirect.com/journal/composites-part-b-engineering
1042_home,27,391,418,0.0645933014354067,1042,sjr_19900192023,1042,Earth System Dynamics,journal,"21904979, 21904987","2,298",Q1,54,70,187,7955,1211,187,"7,18","113,64",Germany,Western Europe,Copernicus Gesellschaft mbH,2010-2022,Earth and Planetary Sciences (miscellaneous) (Q1),Earth and Planetary Sciences,https://www.earth-system-dynamics.net/
1043_home,2,85,87,0.022988505747126436,1043,sjr_19700166402,1043,Circulation: Cardiovascular Interventions,journal,"19417632, 19417640","2,296",Q1,108,137,512,2134,2198,392,"3,56","15,58",United States,Northern America,Lippincott Williams and Wilkins Ltd.,2008-2022,Cardiology and Cardiovascular Medicine (Q1),Medicine,https://www.ahajournals.org/journal/circinterventions
1044_home,6,580,586,0.010238907849829351,1044,sjr_144946,1044,Environmental Chemistry Letters,journal,16103653,"2,295",Q1,95,210,527,27975,9025,516,"16,95","133,21",Germany,Western Europe,Springer Verlag,2003-2022,Environmental Chemistry (Q1),Environmental Science,https://www.springer.com/journal/10311
1045_home,2,85,87,0.022988505747126436,1045,sjr_19700188418,1045,Annual Review of Chemical and Biomolecular Engineering,journal,"19475438, 19475446","2,294",Q1,73,24,69,3168,660,66,"8,49","132,00",United States,Northern America,Annual Reviews Inc.,2010-2022,"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Chemical Engineering; Chemistry; Energy,https://www.annualreviews.org/journal/chembioeng
1046_home,10,520,530,0.018867924528301886,1046,sjr_15163,1046,Applied Mechanics Reviews,journal,"00036900, 10888535","2,293",Q1,121,11,48,2241,557,42,"13,81","203,73",United States,Northern America,The American Society of Mechanical Engineers(ASME),"1965, 1969-2011, 2013-2022",Mechanical Engineering (Q1),Engineering,https://asmedigitalcollection.asme.org/appliedmechanicsreviews
1047_home,56,795,851,0.06580493537015276,1047,sjr_7600153101,1047,Clinical journal of the American Society of Nephrology : CJASN,journal,"1555905X, 15559041","2,293",Q1,176,266,878,8140,4313,607,"4,88","30,60",United States,Northern America,American Society of Nephrology,2006-2022,Critical Care and Intensive Care Medicine (Q1); Epidemiology (Q1); Nephrology (Q1); Transplantation (Q1),Medicine,https://cjasn.asnjournals.org/
1048_home,6,550,556,0.01079136690647482,1048,sjr_28527,1048,Experimental Economics,journal,"15736938, 13864157","2,293",Q1,62,66,137,3549,355,136,"2,16","53,77",United States,Northern America,Springer New York,"2000, 2003-2022","Economics, Econometrics and Finance (miscellaneous) (Q1)","Economics, Econometrics and Finance",https://www.springer.com/journal/10683
1049_home,2,85,87,0.022988505747126436,1049,sjr_21100943285,1049,Research,journal,"26395274, 20965168","2,293",Q1,40,191,381,11323,3628,381,"10,08","59,28",United States,Northern America,American Association for the Advancement of Science,2018-2022,Multidisciplinary (Q1),Multidisciplinary,https://spj.sciencemag.org/research/
104_home,2,85,87,0.022988505747126436,104,sjr_15646,104,Annual Review of Political Science,book series,"10942939, 15451577","8,346",Q1,123,26,74,2989,1132,74,"10,63","114,96",United States,Northern America,Annual Reviews Inc.,1998-2022,Sociology and Political Science (Q1),Social Sciences,https://www.annualreviews.org/journal/polisci
1050_home,4,117,121,0.03305785123966942,1050,sjr_29403,1050,Energy Policy,journal,03014215,"2,292",Q1,254,530,2018,34109,19235,1996,"9,50","64,36",United Kingdom,Western Europe,Elsevier BV,1973-2022,"Energy (miscellaneous) (Q1); Management, Monitoring, Policy and Law (Q1)",Energy; Environmental Science,https://www.journals.elsevier.com/energy-policy
1051_home,2,85,87,0.022988505747126436,1051,sjr_21100820001,1051,Neurology: Neuroimmunology and NeuroInflammation,journal,23327812,"2,288",Q1,64,116,479,42,3106,443,"6,82","0,36",United States,Northern America,Lippincott Williams and Wilkins Ltd.,2014-2022,Neurology (Q1); Neurology (clinical) (Q1),Medicine; Neuroscience,https://nn.neurology.org/
1052_home,4,117,121,0.03305785123966942,1052,sjr_15134,1052,Information Sciences,journal,00200255,"2,285",Q1,210,1324,3053,60067,28008,3041,"9,01","45,37",United States,Northern America,Elsevier Inc.,1968-2022,Artificial Intelligence (Q1); Computer Science Applications (Q1); Control and Systems Engineering (Q1); Information Systems and Management (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Decision Sciences; Engineering; Mathematics,https://www.journals.elsevier.com/information-sciences
1053_home,44,606,650,0.06769230769230769,1053,sjr_26371,1053,Natural Product Reports,journal,"02650568, 14604752","2,284",Q1,200,94,260,17676,3113,256,"11,68","188,04",United Kingdom,Western Europe,Royal Society of Chemistry,1984-2022,Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics",https://www.rsc.org/journals-books-databases/about-journals/npr/
1054_home,28,158,186,0.15053763440860216,1054,sjr_22003,1054,American Journal of Science,journal,00029599,"2,283",Q1,124,34,73,3889,375,68,"3,24","114,38",United States,Northern America,Yale University,"1945-1948, 1950, 1969, 1973, 1975-2021",Earth and Planetary Sciences (miscellaneous) (Q1),Earth and Planetary Sciences,http://www.ajsonline.org/
1055_home,4,117,121,0.03305785123966942,1055,sjr_22647,1055,Gondwana Research,journal,1342937X,"2,283",Q1,159,310,566,33598,3537,558,"6,34","108,38",United States,Northern America,Elsevier Inc.,1997-2022,Geology (Q1),Earth and Planetary Sciences,https://www.journals.elsevier.com/gondwana-research
1056_home,2,85,87,0.022988505747126436,1056,sjr_19700188403,1056,mBio,journal,"21612129, 21507511","2,283",Q1,154,764,2231,46826,13459,2153,"5,85","61,29",United States,Northern America,American Society for Microbiology,2010-2022,Microbiology (Q1); Virology (Q1),Immunology and Microbiology,https://mbio.asm.org/
1057_home,43,798,841,0.05112960760998811,1057,sjr_26422,1057,SIAM Journal on Optimization,journal,"10526234, 10957189","2,282",Q1,137,111,369,4856,1207,369,"3,00","43,75",United States,Northern America,Society for Industrial and Applied Mathematics Publications,"1991, 1996-2022",Applied Mathematics (Q1); Software (Q1); Theoretical Computer Science (Q1),Computer Science; Mathematics,https://www.siam.org/publications/journals/siam-journal-on-optimization-siopt
1058_home,13,5009,5022,0.002588610115491836,1058,sjr_20969,1058,Journal of Machine Learning Research,journal,"15337928, 15324435","2,281",Q1,239,350,726,20483,5639,726,"7,19","58,52",United States,Northern America,Microtome Publishing,2001-2022,Artificial Intelligence (Q1); Control and Systems Engineering (Q1); Software (Q1); Statistics and Probability (Q1),Computer Science; Engineering; Mathematics,http://www.jmlr.org/
1059_home,6,558,564,0.010638297872340425,1059,sjr_28512,1059,Mathematical Programming,journal,"14364646, 00255610","2,281",Q1,135,256,328,11315,1176,322,"3,00","44,20",Germany,Western Europe,Springer-Verlag GmbH and Co. KG,1971-2022,Mathematics (miscellaneous) (Q1); Software (Q1),Computer Science; Mathematics,https://www.springer.com/journal/10107
105_home,4,117,121,0.03305785123966942,105,sjr_22401,105,Journal of the American College of Cardiology,journal,"15583597, 07351097","8,343",Q1,472,649,2692,20324,24597,1163,"8,96","31,32",United States,Northern America,Elsevier USA,1983-2022,Cardiology and Cardiovascular Medicine (Q1),Medicine,https://www.journals.elsevier.com/journal-of-the-american-college-of-cardiology
1060_home,2,85,87,0.022988505747126436,1060,sjr_12029,1060,Applied Psychology,journal,"0269994X, 14640597","2,279",Q1,104,103,153,8849,1348,141,"9,26","85,91",United Kingdom,Western Europe,Wiley-Blackwell Publishing Ltd,"1955, 1961-1992, 1996-2022",Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1),Arts and Humanities; Psychology,https://iaap-journals.onlinelibrary.wiley.com/journal/14640597
1061_home,2,85,87,0.022988505747126436,1061,sjr_15670,1061,Journal of Peasant Studies,journal,"03066150, 17439361","2,277",Q1,98,129,206,11255,1359,197,"6,63","87,25",United Kingdom,Western Europe,Routledge,1973-2022,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1),Arts and Humanities; Social Sciences,https://www.tandfonline.com/loi/fjps20
1062_home,1,233,234,0.004273504273504274,1062,sjr_17496,1062,Journal of Corporate Finance,journal,09291199,"2,268",Q1,120,140,618,8757,4126,615,"6,43","62,55",Netherlands,Western Europe,Elsevier,1994-2022,Business and International Management (Q1); Economics and Econometrics (Q1); Finance (Q1); Strategy and Management (Q1),"Business, Management and Accounting; Economics, Econometrics and Finance",http://www.elsevier.com/wps/find/journaldescription.cws_home/524467/description#description
1063_home,2,85,87,0.022988505747126436,1063,sjr_13357,1063,Journal of the Learning Sciences,journal,"10508406, 15327809","2,267",Q1,105,26,69,1554,551,65,"6,40","59,77",United States,Northern America,Routledge,"1991-1992, 1994-2022",Developmental and Educational Psychology (Q1); Education (Q1),Psychology; Social Sciences,https://www.tandfonline.com/toc/hlns20/current
1064_home,4,117,121,0.03305785123966942,1064,sjr_22080,1064,Current Opinion in Genetics and Development,journal,"0959437X, 18790380","2,264",Q1,197,98,300,5996,1194,283,"3,88","61,18",United Kingdom,Western Europe,Elsevier Ltd.,1991-2022,Developmental Biology (Q1); Genetics (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.journals.elsevier.com/current-opinion-in-genetics-and-development
1065_home,2,85,87,0.022988505747126436,1065,sjr_19400156815,1065,Annual Review of Analytical Chemistry,journal,"19361335, 19361327","2,263",Q1,87,13,68,1673,686,68,"8,07","128,69",United States,Northern America,Annual Reviews Inc.,2008-2022,Analytical Chemistry (Q1); Medicine (miscellaneous) (Q1),Chemistry; Medicine,https://www.annualreviews.org/journal/anchem
1066_home,2,85,87,0.022988505747126436,1066,sjr_29873,1066,International Journal of Cancer,journal,"00207136, 10970215","2,259",Q1,251,416,1825,18902,12503,1719,"6,16","45,44",United States,Northern America,Wiley-Liss Inc.,1966-2022,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://onlinelibrary.wiley.com/journal/10970215
