Original,Cleaned
International Union Against Tuberculosis and Lung Disease (The Union),International Union Against Tuberculosis and Lung Disease (The Union)
International Union of Crystallography,International Union of Crystallography
IOP Publishing Ltd.,IOP Publishing Ltd.
IOS Press BV,IOS Press BV
ISA - Instrumentation Systems and Automation Society,ISA - Instrumentation Systems and Automation Society
ISHIB,ISHIB
IUCN - International Union for the Conservation of Nature,IUCN - International Union for the Conservation of Nature
Ivyspring International Publisher,Ivyspring International Publishers
Ivyspring International Publishers,Ivyspring International Publishers
JAI Press,JAI Press
Janos Bolyai Mathematical Society,Janos Bolyai Mathematical Society
Japan Academy,Japan Academy
Japan Prosthodontic Society,Japan Prosthodontic Society
Japanese Geotechnical Society,Japanese Geotechnical Society
Japanese Society of Allergology,Japanese Society of Allergology
JMIR Publications Inc.,JMIR Publications Inc.
John Benjamins Publishing Company,John Benjamins Publishing Company
John Wiley &amp; Sons Inc.,John Wiley and Sons
John Wiley and Sons Inc.,John Wiley and Sons
John Wiley and Sons Ltd,John Wiley and Sons
Johns Hopkins University Press,Johns Hopkins University Press
Journal of Philosophy Inc.,Journal of Philosophy Inc.
KeAi Communications Co.,KeAi Communications Co.
Kerman University of Medical Sciences,Kerman University of Medical Sciences
Khayyam Publishing Inc.,Khayyam Publishing Inc.
Kluwer Academic Publishers,
Kluwer Academic/Human Sciences Press Inc.,
Korea Information Processing Society,
Korean Academy of Medical Science,Korean Academy of Medical Science
Korean Association for the Study of Intestinal Diseases,Korean Association for the Study of Intestinal Diseases
Korean Association for the Study of the Liver,Korean Association for the Study of the Liver
Korean Cancer Association,Korean Cancer Association
Korean Institute of Communication Sciences,
Korean Institute of Communications Information Sciences,
Korean Society for Molecular and Cellular Biology,Korean Society for Molecular and Cellular Biology
Korean Society of Epidemiology,Korean Society of Epidemiology
Korean Society of Industrial Engineering Chemistry,Korean Society of Industrial Engineering Chemistry
Korean Society of Med. Biochemistry and Mol. Biology,Korean Society of Med. Biochemistry and Mol. Biology
Korean Society of Spine Surgery,Korean Society of Spine Surgery
Korean Spinal Neurosurgery Society,Korean Spinal Neurosurgery Society
Korean Stroke Society,Korean Stroke Society
Kyoto University,Kyoto University
Lavoisier,Lavoisier
Linguistic Society of America,Linguistic Society of America
Lippincott Williams and Wilkins,Lippincott Williams and Wilkins
Lippincott Williams and Wilkins Ltd.,Lippincott Williams and Wilkins
Management Information Systems Research Center,Management Information Systems Research Center
Mary Ann Liebert Inc.,Mary Ann Liebert Inc.
Masson SpA,Masson SpA
Mathematical Sciences Publishers,Mathematical Sciences Publishers
Max-Planck Institute for Demographic Research/Max-Planck-institut fur Demografische Forschung,
MDPI AG,
Meditsiinski Unversitet-Sofia,
Meteorological Society of Japan,
Microbiology Society,
Microtome Publishing,
Mineralogical Society of America,
MIT Press Journals,
Morgan and Claypool Publishers,
Morgan Kaufmann Publishers Inc.,
Mosby Inc.,
Multidisciplinary Digital Publishing Institute (MDPI),
nan,
National Athletic Trainers Association Inc.,
National Co-ordinating Centre for HTA,
National Engineering Research Center for Magnesium Alloys of China Chongqing University,
National Herbarium Nederland,
National Institute on Alcohol Abuse and Alcoholism (NIAAA),
National Medical Association,
National University of Singapore Department of Biological Sciences Centre for Biomedical Ethics,
Nature Partner Journals,
Nature Publishing Group,
Neoplasia Press,
NLM (Medline),
Now Publishers Inc,
NSCA National Strength and Conditioning Association,
Open Library of Humanities,
Optica Publishing Group,
Oxford University Press,
Palgrave Macmillan Ltd.,
Pensoft Publishers,
Petroleum Industry Press,
Pharmaceutical Society of Korea,
Physicians Postgraduate Press Inc.,
Plenum Publishers,
Policy Press,
Portland Press Ltd.,
Princeton University Press,
Public Library of Science,
Purdue University Department of Agricultural Economics,
Research Network of Computational and Structural Biotechnology,
Rockefeller University Press,
Routledge,
Royal College of Psychiatrists,
Royal Society of Chemistry,
Russell Sage Foundation,
S. Karger AG,
SAGE Publications Inc.,SAGE Publications
SAGE Publications Ltd,SAGE Publications
Sax Institute,
Science Press,Science Press
Science Press (China),Science Press
SciPost Foundation,
Scuola Normale Superiore,
Seismological Society of America,
Shenyang Pharmaceutical University,
Sichuan University Press,Sichuan University Press
Signal Transduction Society,Signal Transduction Society
Sociedad Espanola de Psicologia Juridica y Forense,Sociedad Espanola de Psicologia Juridica y Forense
Societe Mathematique de France,Societe Mathematique de France
Society for Industrial and Applied Mathematics Publications,Society for Industrial and Applied Mathematics Publications
Society for Judgment and Decision Making,Society for Judgment and Decision Making
Society for Neuroscience,Society for Neuroscience
Society for Sociological Science,Society for Sociological Science
Society for the Study of Reproduction,Society for the Study of Reproduction
Society for Translational Medicine (STM),Society for Translational Medicine (STM)
Society of Economic Geologists Inc,Society of Economic Geologists Inc
Society of Industrial and Applied Mathematics,Society of Industrial and Applied Mathematics
Society of Nuclear Medicine and Molecular Imaging,Society of Nuclear Medicine and Molecular Imaging
Society of Petroleum Engineers (SPE),Society of Petroleum Engineers (SPE)
Spandidos Publications,Spandidos Publications
SPIE,SPIE
Springer,Springer
Springer Berlin,Springer
Springer Boston,Springer
Springer Fachmedien Wiesbaden GmbH,Springer
Springer Gabler,Springer
Springer Healthcare,Springer
Springer International Publishing AG,Springer
Springer Japan,Springer
Springer London,Springer
Springer Medizin,Springer
Springer Nature,Springer
Springer Nature Switzerland AG,Springer
Springer Netherlands,Springer
Springer New York,Springer
Springer Paris,Springer
Springer Publishing Company,Springer
Springer Science + Business Media,Springer
Springer Science and Business Media B.V.,Springer
Springer Science and Business Media Deutschland GmbH,Springer
Springer Singapore,Springer
Springer US,Springer
Springer Verlag,Springer
Springer-Verlag GmbH and Co. KG,Springer
Springer-Verlag Italia Srl,Springer
Springer-Verlag Wien,Springer
SpringerOpen,Springer
Staatliche Naturhistorische Sammlungen Dresden,
Stanford Law School,
Statistics Canada,
Taylor and Francis Ltd.,
Termedia Publishing House Ltd.,
The Advertising Research Foundation,
The American Society for Clinical Investigation,
The American Society of Mechanical Engineers(ASME),
THE EMS PUBLISHING HOUSE,
The Endocrine Society,
The Online Learning Consortium,
The Resilience Alliance,
Thieme Medical Publishers Inc.,
Tongji University Press,
Tsing Hua University,
Tsinghua University Press,
Turkish National Committee for Air Pollution Research (TUNCAP),
Turpion Ltd.,
U.S. National Center for Health Statistics,
Ubiquity Press,
Universidad Autonoma de Madrid,Universidad Autonoma de Madrid
Universidad Nacional de Educacion a Distancia UNED,Universidad Nacional de Educacion a Distancia UNED
Universitat Autonoma de Barcelona,Universitat Autonoma de Barcelona
University of Alicante,University of Alicante
University of Antwerp,University of Antwerp
University of California,University of California
University of California at Los Angeles,University of California at Los Angeles
University of California Press,University of California Press
University of Chicago Department of Computer Science,University of Chicago Department of Computer Science
University of Chicago Press,University of Chicago Press
University of Hawaii Press,University of Hawaii Press
University of Michigan Press,University of Michigan Press
University of Roehampto,University of Roehampto
University of Surrey,University of Surrey
University of Warwick,University of Warwick
University of Wisconsin Press,University of Wisconsin Press
Urban und Fischer Verlag GmbH und Co. KG,
Urban und Fischer Verlag Jena,
Urban und Vogel,
UTS ePress,UTS ePress
Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften,Verein zur Forderung des Open Access Publizierens in den Quantenwissenschaften
W.B. Saunders Ltd,W.B. Saunders Ltd
Walter de Gruyter,Walter de Gruyter
Walter de Gruyter GmbH,Walter de Gruyter
Walter de Gruyter GmbH &amp; Co. KG,Walter de Gruyter
Westerdijk Fungal Biodiversity Institute,
Wiley-Blackwell,Wiley-Blackwell
Wiley-Blackwell Publishing Ltd,Wiley-Blackwell
Wolters Kluwer Health,
Wolters Kluwer Medknow Publications,
Xian Jiaotong University,Xian Jiaotong University
Yale Law Journal,
Yale University,
Zhejiang University Press,Zhejiang University Press
Zhonghua Yixuehui Zazhishe,Zhonghua Yixuehui Zazhishe
Zhongkai University,Zhongkai University
