Title,"If filter ""v"", otherwise empty",Checked,Areas,Clean Up Areas (filter out unused Categories),URL
Additive Manufacturing,v,TRUE,Engineering; Materials Science,,https://www.journals.elsevier.com/additive-manufacturing
Administration and Policy in Mental Health and Mental Health Services Research,,TRUE,Medicine,,https://www.springer.com/journal/10488
Adolescent Research Review,,TRUE,Medicine; Psychology; Social Sciences,,https://www.springer.com/journal/40894
Advanced Composites and Hybrid Materials,v,TRUE,Materials Science,,https://www.springer.com/journal/42114
Advanced Drug Delivery Reviews,,TRUE,"Pharmacology, Toxicology and Pharmaceutics",,https://www.journals.elsevier.com/advanced-drug-delivery-reviews
Advanced Engineering Informatics,v,TRUE,Computer Science,,https://www.journals.elsevier.com/advanced-engineering-informatics
Advanced Fiber Materials,v,TRUE,Materials Science,,https://www.springer.com/journal/42765
Advanced Industrial and Engineering Polymer Research,v,TRUE,Chemical Engineering; Engineering; Materials Science,,https://www.keaipublishing.com/en/journals/advanced-industrial-and-engineering-polymer-research/
Advanced Nonlinear Studies,v,TRUE,Mathematics; Physics and Astronomy,,https://www.degruyter.com/view/j/ans
Advanced Photonics,v,TRUE,Engineering; Materials Science; Physics and Astronomy,,https://www.spiedigitallibrary.org/journals/advanced-photonics?SSO=1
Advanced Structural and Chemical Imaging,,TRUE,Chemical Engineering; Chemistry; Medicine,,https://ascimaging.springeropen.com/
Advances in Anatomic Pathology,,TRUE,Medicine,,https://journals.lww.com/anatomicpathology/pages/default.aspx
Advances in Applied Energy,v,TRUE,Energy,,https://www.sciencedirect.com/journal/advances-in-applied-energy
Advances in Atmospheric Sciences,v,TRUE,Earth and Planetary Sciences,,https://www.springer.com/journal/376
Advances in Biological Regulation,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.sciencedirect.com/journal/advances-in-biological-regulation
Advances in Calculus of Variations,v,TRUE,Mathematics,,https://www.degruyter.com/view/journals/acv/acv-overview.xml
Advances in Chronic Kidney Disease,,TRUE,Medicine,,https://www.journals.elsevier.com/advances-in-chronic-kidney-disease
Advances in Climate Change Research,v,TRUE,Earth and Planetary Sciences; Environmental Science,,https://www.sciencedirect.com/journal/advances-in-climate-change-research
Advances in Colloid and Interface Science,v,TRUE,Chemical Engineering; Chemistry; Physics and Astronomy,,https://www.sciencedirect.com/journal/advances-in-colloid-and-interface-science
Advances in Combinatorics,v,TRUE,Mathematics,,https://www.advancesincombinatorics.com/
Advances in Computers,v,TRUE,Computer Science,,https://www.elsevier.com/books/book-series/advances-in-computers
Advances in Differential Equations,v,TRUE,Mathematics,,http://www.aftabi.com/ADE/ade.html
Advances in Geo-Energy Research,v,TRUE,Earth and Planetary Sciences; Energy; Engineering,,https://www.astp-agr.com/
Advances in Health Sciences Education,,TRUE,Medicine; Social Sciences,,https://www.springer.com/journal/10459
Advances in Life Course Research,v,TRUE,Social Sciences,,https://www.journals.elsevier.com/advances-in-life-course-research
Advances in Mathematics,v,TRUE,Mathematics,,http://www.elsevier.com/wps/find/journaldescription.cws_home/622779/description#description
Advances in Microbial Physiology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",,https://www.elsevier.com/books/book-series/advances-in-microbial-physiology
Advances in Nonlinear Analysis,v,TRUE,Mathematics,,https://www.degruyter.com/view/j/anona
Advances in Nutrition,,TRUE,Agricultural and Biological Sciences; Medicine; Nursing,,https://nutrition.org/publications/advances-in-nutrition/
Advances in Optics and Photonics,v,TRUE,Environmental Science; Physics and Astronomy,,https://www.osapublishing.org/aop/home.cfm
Advances in Protein Chemistry and Structural Biology,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.elsevier.com/books/book-series/advances-in-protein-chemistry-and-structural-biology
"Advances in Statistical Climatology, Meteorology and Oceanography",v,TRUE,Earth and Planetary Sciences; Mathematics,,https://www.advances-statistical-climatology-meteorology-oceanography.net/
Advances in Therapy,,TRUE,Medicine,,https://www.springer.com/journal/12325
Advances in Water Resources,v,TRUE,Environmental Science,,https://www.sciencedirect.com/journal/advances-in-water-resources
Advances in Wound Care,,TRUE,Medicine,,https://home.liebertpub.com/publications/advances-in-wound-care/605/overview
Aerospace Science and Technology,v,TRUE,Engineering,,https://www.journals.elsevier.com/aerospace-science-and-technology
African Affairs,v,TRUE,Social Sciences,,https://academic.oup.com/afraf
Age and Ageing,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://academic.oup.com/ageing
Ageing Research Reviews,,TRUE,"Biochemistry, Genetics and Molecular Biology; Neuroscience",,https://www.sciencedirect.com/journal/ageing-research-reviews
Aggression and Violent Behavior,,TRUE,Medicine; Psychology,,https://www.journals.elsevier.com/aggression-and-violent-behavior
Aging and Disease,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,http://www.aginganddisease.org/EN/2152-5250/home.shtml
Aging clinical and experimental research,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://www.springer.com/journal/40520
Agricultural and Forest Meteorology,,TRUE,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science,,https://www.journals.elsevier.com/agricultural-and-forest-meteorology
Agricultural Systems,,TRUE,Agricultural and Biological Sciences,,https://www.journals.elsevier.com/agricultural-systems
Agricultural Water Management,,TRUE,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science,,https://www.sciencedirect.com/journal/agricultural-water-management
Agriculture and Human Values,,TRUE,Agricultural and Biological Sciences,,https://www.springer.com/journal/10460
"Agriculture, Ecosystems and Environment",,TRUE,Agricultural and Biological Sciences; Environmental Science,,https://www.journals.elsevier.com/agriculture-ecosystems-and-environment/
AI Open,v,TRUE,Computer Science,,https://www.keaipublishing.com/en/journals/ai-open/
AIDS,,TRUE,Immunology and Microbiology; Medicine,,https://journals.lww.com/aidsonline/pages/default.aspx
AIDS and Behavior,,TRUE,Medicine; Psychology,,https://www.springer.com/journal/10461
AIDS Patient Care and STDs,,TRUE,Medicine,,https://home.liebertpub.com/publications/aids-patient-care-and-stds/1/
Alcohol research : current reviews,,TRUE,Medicine; Psychology,,https://www.arcr.niaaa.nih.gov/
Algebra and Number Theory,v,TRUE,Mathematics,,https://msp.org/ant/about/journal/about.html
Algebraic and Geometric Topology,v,TRUE,Mathematics,,https://msp.org/agt/2020/20-2/
Algebraic Geometry,v,TRUE,Mathematics,,https://algebraicgeometry.nl/
Algorithmica,v,TRUE,Computer Science; Mathematics,,https://www.springer.com/journal/453
Allergology International,,TRUE,Medicine,,https://www.journals.elsevier.com/allergology-international
Alzheimer's and Dementia,,TRUE,Medicine; Neuroscience,,http://www.elsevier.com/wps/find/journaldescription.cws_home/704180/description#description
"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",,TRUE,Medicine,,https://www.journals.elsevier.com/alzheimers-and-dementia-diagnosis-assessment-and-disease-monitoring
Alzheimer's and Dementia: Translational Research and Clinical Interventions,,TRUE,Medicine,,https://www.journals.elsevier.com/alzheimers-and-dementia-translational-research-and-clinical-interventions
Alzheimer's Research and Therapy,,TRUE,Medicine; Neuroscience,,https://alzres.biomedcentral.com/
Ambio,,TRUE,Environmental Science; Medicine; Social Sciences,,https://www.springer.com/journal/13280
American Economic Journal: Applied Economics,v,TRUE,"Economics, Econometrics and Finance",,https://www.aeaweb.org/journals/app
American Economic Journal: Economic Policy,v,TRUE,"Economics, Econometrics and Finance",,https://www.aeaweb.org/journals/pol
American Economic Journal: Macroeconomics,v,TRUE,"Economics, Econometrics and Finance",,https://www.aeaweb.org/journals/mac/about-mac
American Economic Journal: Microeconomics,v,TRUE,"Economics, Econometrics and Finance",,https://www.aeaweb.org/journals/mic
American Economic Review,v,TRUE,"Economics, Econometrics and Finance",,https://www.aeaweb.org/journals/aer
American Educational Research Journal,v,TRUE,Social Sciences,,https://us.sagepub.com/en-us/nam/journal/american-educational-research-journal#description
American Heart Journal,,TRUE,Medicine,,https://www.journals.elsevier.com/american-heart-journal
American Journal of Clinical Dermatology,,TRUE,Medicine,,https://www.springer.com/journal/40257
American Journal of Clinical Pathology,,TRUE,Medicine,,https://academic.oup.com/ajcp
American Journal of Criminal Justice,v,TRUE,Social Sciences,,https://www.springer.com/journal/12103
American Journal of Cultural Sociology,v,TRUE,Social Sciences,,https://www.palgrave.com/gp/journal/41290
American Journal of Epidemiology,,TRUE,Medicine,,https://academic.oup.com/aje
American Journal of Gastroenterology,,TRUE,Medicine,,https://journals.lww.com/ajg/pages/default.aspx
American Journal of Geriatric Psychiatry,,TRUE,Medicine,,https://www.journals.elsevier.com/the-american-journal-of-geriatric-psychiatry
American Journal of Health Economics,,TRUE,"Economics, Econometrics and Finance; Medicine",,https://www.mitpressjournals.org/loi/ajhe
American Journal of Mathematics,v,TRUE,Mathematics,,http://muse.jhu.edu/journals/american_journal_of_mathematics/
American Journal of Nephrology,,TRUE,Medicine,,https://www.karger.com/Journal/Home/223979
American Journal of Neuroradiology,,TRUE,Medicine,,http://www.ajnr.org/
American Journal of Obstetrics and Gynecology,,TRUE,Medicine,,https://www.journals.elsevier.com/american-journal-of-obstetrics-and-gynecology
American Journal of Orthodontics and Dentofacial Orthopedics,,TRUE,Dentistry,,https://www.journals.elsevier.com/american-journal-of-orthodontics-and-dentofacial-orthopedics/
American Journal of Pathology,,TRUE,Medicine,,https://www.journals.elsevier.com/the-american-journal-of-pathology
American Journal of Preventive Medicine,,TRUE,Medicine,,https://www.journals.elsevier.com/american-journal-of-preventive-medicine
American Journal of Psychiatry,,TRUE,Medicine,,https://ajp.psychiatryonline.org/
American Journal of Science,v,TRUE,Earth and Planetary Sciences,,http://www.ajsonline.org/
American Journal of Surgical Pathology,,TRUE,Medicine,,https://journals.lww.com/ajsp/pages/default.aspx
American Journal of Tropical Medicine and Hygiene,,TRUE,Immunology and Microbiology; Medicine,,https://www.ajtmh.org/content/journals/14761645
American Mineralogist,v,TRUE,Earth and Planetary Sciences,,https://pubs.geoscienceworld.org/ammin
AMS Review,v,TRUE,"Business, Management and Accounting",,https://www.springer.com/journal/13162
"Anaesthesia, critical care &amp; pain medicine",,TRUE,Medicine,,https://www.sciencedirect.com/journal/anaesthesia-critical-care-and-pain-medicine
Analysis and PDE,v,TRUE,Mathematics,,https://msp.org/apde/2020/13-3/
Analytic Methods in Accident Research,v,TRUE,Social Sciences,,https://www.journals.elsevier.com/analytic-methods-in-accident-research
Analytica Chimica Acta,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemistry; Environmental Science",,https://www.journals.elsevier.com/analytica-chimica-acta
Anesthesia and Analgesia,,TRUE,Medicine,,https://journals.lww.com/anesthesia-analgesia/pages/default.aspx
Anesthesiology,,TRUE,Medicine,,https://anesthesiology.pubs.asahq.org/journal.aspx
Angiogenesis,,TRUE,"Biochemistry, Genetics and Molecular Biology",,https://www.springer.com/journal/10456/
Angle Orthodontist,,TRUE,Dentistry; Medicine,,http://www.angle.org/?code=angf-site
Animal Behaviour,,TRUE,Agricultural and Biological Sciences,,https://www.journals.elsevier.com/animal-behaviour
Animal Frontiers,,TRUE,Agricultural and Biological Sciences; Veterinary,,https://academic.oup.com/af
Animal Nutrition,,TRUE,Agricultural and Biological Sciences; Veterinary,,http://www.keaipublishing.com/en/journals/animal-nutrition/
Annales de l'Institut Fourier,v,TRUE,Mathematics,,https://aif.centre-mersenne.org/
Annales de l'institut Henri Poincare (B) Probability and Statistics,v,TRUE,Decision Sciences; Mathematics,,https://imstat.org/journals-and-publications/annales-de-linstitut-henri-poincare/
Annales de l'Institut Henri Poincare (C) Analyse Non Lineaire,v,TRUE,Mathematics,,https://ems.press/journals/aihpc
Annales Henri Poincare,v,TRUE,Mathematics; Physics and Astronomy,,https://www.springer.com/journal/23
Annales Scientifiques de l'Ecole Normale Superieure,v,TRUE,Mathematics,,https://www.math.ens.fr/edition/annales/vol51-2018.html
Annali della Scuola normale superiore di Pisa - Classe di scienze,v,TRUE,Mathematics,,http://annaliscienze.sns.it/
Annals of Actuarial Science,v,TRUE,"Decision Sciences; Economics, Econometrics and Finance; Mathematics",,https://www.cambridge.org/core/journals/annals-of-actuarial-science
Annals of Agricultural Sciences,,TRUE,Agricultural and Biological Sciences,,https://www.journals.elsevier.com/annals-of-agricultural-sciences
Annals of Applied Probability,v,TRUE,Decision Sciences; Mathematics,,https://imstat.org/journals-and-publications/annals-of-applied-probability/
Annals of Applied Statistics,v,TRUE,Decision Sciences; Mathematics,,https://imstat.org/journals-and-publications/annals-of-applied-statistics/
Annals of Behavioral Medicine,,TRUE,Medicine; Psychology,,https://academic.oup.com/abm
Annals of Botany,,TRUE,Agricultural and Biological Sciences,,https://academic.oup.com/aob
Annals of Clinical Microbiology and Antimicrobials,,TRUE,Medicine,,https://ann-clinmicrob.biomedcentral.com/
Annals of Epidemiology,,TRUE,Medicine,,https://www.sciencedirect.com/journal/annals-of-epidemiology
Annals of Family Medicine,,TRUE,Medicine,,http://www.annfammed.org/
Annals of General Psychiatry,,TRUE,Medicine,,https://annals-general-psychiatry.biomedcentral.com/
Annals of Intensive Care,,TRUE,Medicine,,https://annalsofintensivecare.springeropen.com/
Annals of Internal Medicine,,TRUE,Medicine,,https://annals.org/aim
Annals of K-Theory,,TRUE,Mathematics; Nursing,,https://msp.org/akt/about/journal/about.html
Annals of Mathematics,v,TRUE,Decision Sciences; Mathematics,,https://annals.math.princeton.edu/about
Annals of Mathematics Studies,v,TRUE,Mathematics,,https://press.princeton.edu/series/annals-of-mathematics-studies
Annals of Oncology,,TRUE,Medicine,,https://www.journals.elsevier.com/annals-of-oncology
Annals of Operations Research,v,TRUE,Decision Sciences,,https://www.springer.com/journal/10479
Annals of PDE,v,TRUE,Mathematics; Physics and Astronomy,,https://www.springer.com/journal/40818
Annals of Physical and Rehabilitation Medicine,,TRUE,Medicine,,https://www.journals.elsevier.com/annals-of-physical-and-rehabilitation-medicine
Annals of Probability,v,TRUE,Decision Sciences; Mathematics,,https://imstat.org/journals-and-publications/annals-of-probability/
Annals of Statistics,v,TRUE,Decision Sciences; Mathematics,,https://imstat.org/journals-and-publications/annals-of-statistics/
Annals of Surgery,,TRUE,Medicine,,https://journals.lww.com/annalsofsurgery/pages/default.aspx
Annals of Surgical Oncology,,TRUE,Medicine,,https://www.springer.com/journal/10434
Annals of the Rheumatic Diseases,,TRUE,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",,http://ard.bmj.com/content/by/year
Annals of Tourism Research,v,TRUE,"Business, Management and Accounting; Social Sciences",,https://www.journals.elsevier.com/annals-of-tourism-research
Annals of Tourism Research Empirical Insights,v,TRUE,"Business, Management and Accounting; Social Sciences",,https://www.sciencedirect.com/journal/annals-of-tourism-research-empirical-insights
Annual Review of Applied Linguistics,,TRUE,Psychology; Social Sciences,,https://www.cambridge.org/core/journals/annual-review-of-applied-linguistics
Annual Reviews in Control,v,TRUE,Computer Science; Engineering,,https://www.sciencedirect.com/journal/annual-reviews-in-control
Antibodies,,TRUE,"Immunology and Microbiology; Medicine; Pharmacology, Toxicology and Pharmaceutics",,https://www.mdpi.com/journal/antibodies
Antibody Therapeutics,,TRUE,Immunology and Microbiology; Medicine,,https://academic.oup.com/abt
Antimicrobial Resistance and Infection Control,,TRUE,Medicine,,https://aricjournal.biomedcentral.com/
Antioxidants,,TRUE,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",,https://www.mdpi.com/journal/antioxidants
Antioxidants and Redox Signaling,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine",,https://home.liebertpub.com/publications/antioxidants-and-redox-signaling/4/overview
Antiviral Research,,TRUE,"Immunology and Microbiology; Pharmacology, Toxicology and Pharmaceutics",,https://www.journals.elsevier.com/antiviral-research
APL Bioengineering,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science",,https://aip.scitation.org/journal/apb
APL Materials,v,TRUE,Engineering; Materials Science,,https://aip.scitation.org/journal/apm
APL Photonics,v,TRUE,Computer Science; Physics and Astronomy,,https://aip.scitation.org/journal/app
Apoptosis : an international journal on programmed cell death,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine; Pharmacology, Toxicology and Pharmaceutics",,https://www.springer.com/journal/10495
Appetite,,TRUE,Nursing; Psychology,,https://www.sciencedirect.com/journal/appetite
Applied and Computational Harmonic Analysis,v,TRUE,Mathematics,,https://www.sciencedirect.com/journal/applied-and-computational-harmonic-analysis
Applied and Computational Mathematics,v,TRUE,Mathematics,,http://acmij.az/view.php?lang=en&menu=0
Applied Catalysis A: General,v,TRUE,Chemical Engineering,,https://www.journals.elsevier.com/applied-catalysis-a-general
Applied Catalysis B: Environmental,v,TRUE,Chemical Engineering; Environmental Science,,https://www.journals.elsevier.com/applied-catalysis-b-environmental/
Applied Clay Science,,TRUE,Agricultural and Biological Sciences; Earth and Planetary Sciences; Environmental Science,,https://www.journals.elsevier.com/applied-clay-science
Applied Clinical Informatics,,TRUE,Computer Science; Health Professions; Medicine,,https://www.thieme.com/books-main/clinical-informatics/product/4433-aci-applied-clinical-informatics
Applied Energy,v,TRUE,Energy; Engineering; Environmental Science,,https://www.journals.elsevier.com/applied-energy
Applied Geography,,TRUE,"Agricultural and Biological Sciences; Business, Management and Accounting; Environmental Science; Social Sciences",,http://www.elsevier.com/wps/find/journaldescription.cws_home/30390/description#description
Applied Health Economics and Health Policy,,TRUE,"Economics, Econometrics and Finance; Medicine",,https://www.springer.com/journal/40258
Applied Intelligence,v,TRUE,Computer Science,,http://www.springer.com/computer+science/ai/journal/10489
Applied Linguistics,v,TRUE,Social Sciences,,https://academic.oup.com/applij
Applied Materials Today,v,TRUE,Materials Science,,https://www.sciencedirect.com/journal/applied-materials-today
Applied Mathematical Modelling,v,TRUE,Mathematics,,https://www.journals.elsevier.com/applied-mathematical-modelling
Applied Mathematics and Computation,v,TRUE,Mathematics,,https://www.journals.elsevier.com/applied-mathematics-and-computation
Applied Mathematics Letters,v,TRUE,Mathematics,,https://www.journals.elsevier.com/applied-mathematics-letters
Applied Mechanics Reviews,v,TRUE,Engineering,,https://asmedigitalcollection.asme.org/appliedmechanicsreviews
Applied Microbiology and Biotechnology,,TRUE,"Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology; Medicine",,https://www.springer.com/journal/253
Applied Numerical Mathematics,v,TRUE,Mathematics,,https://www.journals.elsevier.com/applied-numerical-mathematics/
Applied Ocean Research,v,TRUE,Engineering,,https://www.sciencedirect.com/journal/applied-ocean-research
Applied Physics Letters,v,TRUE,Physics and Astronomy,,https://aip.scitation.org/journal/apl
Applied Physics Reviews,v,TRUE,Physics and Astronomy,,https://aip.scitation.org/journal/are
Applied Soft Computing Journal,v,TRUE,Computer Science,,https://www.journals.elsevier.com/applied-soft-computing
Applied Soil Ecology,,TRUE,Agricultural and Biological Sciences; Environmental Science,,https://www.journals.elsevier.com/applied-soil-ecology
Applied Surface Science,v,TRUE,Chemistry; Materials Science; Physics and Astronomy,,https://www.journals.elsevier.com/applied-surface-science
Applied Thermal Engineering,v,TRUE,Chemical Engineering; Energy; Engineering,,https://www.journals.elsevier.com/applied-thermal-engineering
Applied Water Science,v,TRUE,Environmental Science,,https://www.springer.com/journal/13201
Aquaculture,,TRUE,Agricultural and Biological Sciences,,https://www.sciencedirect.com/journal/aquaculture
Aquatic Toxicology,,TRUE,Agricultural and Biological Sciences; Environmental Science,,https://www.journals.elsevier.com/aquatic-toxicology
Archive for Rational Mechanics and Analysis,v,TRUE,Engineering; Mathematics,,http://www.editorialmanager.com/arma/default.aspx
Archives of Computational Methods in Engineering,v,TRUE,Computer Science; Mathematics,,http://www.springer.com/engineering/journal/11831
Archives of Disease in Childhood,,TRUE,Medicine,,https://adc.bmj.com/
Archives of Disease in Childhood: Fetal and Neonatal Edition,,TRUE,Medicine,,https://fn.bmj.com/
Archives of Gerontology and Geriatrics,,TRUE,"Biochemistry, Genetics and Molecular Biology; Medicine; Nursing; Social Sciences",,https://www.sciencedirect.com/journal/archives-of-gerontology-and-geriatrics
Archives of Medical Research,,TRUE,Medicine,,http://www.elsevier.com/wps/find/journaldescription.cws_home/601442/description#description
Archives of Orthopaedic and Trauma Surgery,,TRUE,Medicine,,https://www.springer.com/journal/402
Archives of Pathology and Laboratory Medicine,,TRUE,Health Professions; Medicine,,https://www.archivesofpathology.org/
Archives of Pharmacal Research,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics",,https://www.springer.com/journal/12272
Archives of Physical Medicine and Rehabilitation,,TRUE,Health Professions; Medicine,,https://www.journals.elsevier.com/archives-of-physical-medicine-and-rehabilitation
Archives of Sexual Behavior,,TRUE,Arts and Humanities; Psychology,,https://www.springer.com/journal/10508
Archives of Toxicology,,TRUE,"Environmental Science; Medicine; Pharmacology, Toxicology and Pharmaceutics",,https://www.springer.com/journal/204
Archives of Women's Mental Health,,TRUE,Medicine,,https://www.springer.com/journal/737
Array,v,TRUE,Computer Science,,https://www.sciencedirect.com/journal/array
Ars Mathematica Contemporanea,v,TRUE,Mathematics,,https://amc-journal.eu/index.php/amc
Arthritis Research and Therapy,,TRUE,Immunology and Microbiology; Medicine,,https://arthritis-research.biomedcentral.com/
Arthropod Systematics and Phylogeny,,TRUE,"Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",,https://www.senckenberg.de/en/science/senckenberg-publications/scientific-journals/arthropod-systematics-phylogeny/
Artificial Intelligence,v,TRUE,Computer Science; Social Sciences,,https://www.journals.elsevier.com/artificial-intelligence/
Artificial Intelligence and Law,v,TRUE,Computer Science; Social Sciences,,https://www.springer.com/journal/10506
Artificial Intelligence in Agriculture,,TRUE,Agricultural and Biological Sciences; Computer Science; Engineering,,https://www.keaipublishing.com/en/journals/artificial-intelligence-in-agriculture/
Artificial Intelligence in Medicine,,TRUE,Computer Science; Medicine,,https://www.journals.elsevier.com/artificial-intelligence-in-medicine
Artificial Intelligence Review,v,TRUE,Computer Science; Social Sciences,,https://www.springer.com/journal/10462
ASAIO Journal,,TRUE,"Biochemistry, Genetics and Molecular Biology; Chemical Engineering; Engineering; Materials Science; Medicine",,https://journals.lww.com/asaiojournal/pages/default.aspx
Asia Pacific Journal of Management,v,TRUE,"Business, Management and Accounting; Economics, Econometrics and Finance",,https://www.springer.com/journal/10490
Asia Pacific Journal of Marketing and Logistics,v,TRUE,"Business, Management and Accounting",,https://www.emeraldgrouppublishing.com/apjml.htm
Asia-Pacific Education Researcher,v,TRUE,Social Sciences,,https://www.springer.com/journal/40299
Asia-Pacific Journal of Ophthalmology,,TRUE,Medicine,,https://journals.lww.com/apjoo/pages/default.aspx
Asian Bioethics Review,,TRUE,Arts and Humanities; Medicine; Nursing; Social Sciences,,https://www.springer.com/philosophy/ethics+and+moral+philosophy/journal/41649
Asian Journal of Pharmaceutical Sciences,,TRUE,"Pharmacology, Toxicology and Pharmaceutics",,https://www.journals.elsevier.com/asian-journal-of-pharmaceutical-sciences
Asian Journal of Psychiatry,,TRUE,Medicine; Psychology,,https://www.journals.elsevier.com/asian-journal-of-psychiatry
