page_id,ICO,Repository_Name,url,Description,Data_Submission_Url,Data_Access_Url,Subject_Area,Access_Type,Model_System,NIH_Funding_Support,Open_Data_Submission,Data_Access,Open_time_frame_for_data_deposit,Sustained_support
"nih-11","Common Fund, NCI, NHGRI, NHLBI, NICHD","Kids First Data Resource","https://portal.kidsfirstdrc.org","The Common Fund’s Gabriella Miller Kids First Pediatric Research Program (Kids First) has developed the Kids First Data Resource, a large-scale data resource to help researchers uncover new insights into the biology of childhood cancer and structural birth defects. It provides clinically annotated genomic data and is integrated with several tools to accelerate pediatric disease research. The Kids First Data Resource Portal allows users to query, or search, Kids First datasets, build virtual cohorts, or collections, of individual participants, and identify datasets for analysis. CAVATICA, built by Seven Bridges Genomics, allows users to run bioinformatics workflows in a cloud-based environment.","undefined","https://github.com/kids-first/kf-cloud-credits/blob/main/ExploringDatasets.md","Clinical research, Sequence biology","controlled, registered, open","human","true","false","undefined","false","true"
"nih-12","Common Fund, NCI, NIA","SenNet Consortium","https://data.sennetconsortium.org","The goal of the Cellular Senescence Network (SenNet) is to identify and functionally characterize the heterogeneity of senescent cells across multiple tissues in human health, and lifespan at single-cell resolution.","undefined","undefined","Computational biology, Imaging, Other, Sequence biology","controlled, registered, open","human, non-human","true","true","undefined","true","true"
"nih-13","Common Fund, NHGRI","4D Nucleome Data Portal","https://data.4dnucleome.org/","The 4D Nucleome Data Portal is an open repository for genomic and microscopy nuclear architecture datasets generated by members of the 4D Nucleome consortium or other relevant studies. In addition to curating and publicly sharing these datasets, the portal provides standardized bioinformatics and visualization tools to aid exploration and analysis of chromatin organization and its impact on health and disease.","https://data.4dnucleome.org/help/submitter-guide","https://data.4dnucleome.org/help/user-guide","Imaging, Sequence biology","registered, open","human, non-human","true","true","undefined","true","false"
"nih-14","Common Fund, NHGRI","Alliance of Genome Resources (AGR)","https://www.alliancegenome.org/","The Alliance of Genome Resources (AGR) is a consortium of several model organism databases (MODs) and the Gene Ontology (GO) Consortium whose goal is to provide an integrated view of their data to all biologists, clinicians and other interested parties. The primary mission of the Alliance of Genome Resources (the Alliance) is to develop and maintain sustainable genome information resources that facilitate the use of diverse model organisms in understanding the genetic and genomic basis of human biology, health and disease. This understanding is fundamental for advancing genome biology research and for translating human genome data into clinical utility.","undefined","https://www.alliancegenome.org/downloads","Computational biology, Neuroscience, Sequence biology","open","non-human","true","false","undefined","false","true"
"nih-15","Common Fund, NINDS","NINDS Human Cell and Data Repository (NHCDR)","https://nindsgenetics.org/","The NINDS Human Cell and Data Repository (NHCDR) provides access to fibroblast and/or induced pluripotent stem cell (iPSC) lines for a number neurological disorders within the NINDS mission as well as healthy controls.  NHCDR also supports access to unique iPSC collections from NeuroLINCS, PDBP, LEFFTDS and Target ALS with associated metadata.  A GMP-grade iPSC line and corresponding research grade iPSC line are also available through the NHCDR.","undefined","undefined","Clinical research, Neuroscience","open","human","true","false","undefined","false","true"
"nih-16","DPCPSI","Monarch Initiative","https://monarchinitiative.org/","The Monarch Initiative is an integrative data and analytic platform connecting phenotypes to genotypes across species, bridging basic and applied research with semantics-based analysis. The correlation of phenotypic outcomes and disease with genetic variation and environmental factors is a core pursuit in biology and biomedicine. We have created or currently contribute to many essential bio-ontologies that together enable sophisticated and semantically integrated computational analysis across gene, genotype, variant, disease, and phenotype data. We have developed algorithms and tools that are in use by multiple communities for tasks including the identification of animal models of human disease through phenotypic similarity, phenotype-driven computational support for differential diagnostics, and translational research.","undefined","https://archive.monarchinitiative.org/latest/","Clinical research, Imaging, Neuroscience, Sequence biology","open","human, non-human","true","true","undefined","true","true"
"nih-17","DPCPSI, NCI, NEI, NHGRI, NIA, NIDDK, NIGMS","The Universal Protein Resource (UniProt)","https://www.uniprot.org/","The Universal Protein Resource (UniProt) is a comprehensive resource for protein sequence and annotation data. The UniProt databases are the UniProt Knowledgebase (UniProtKB), the UniProt Reference Clusters (UniRef), and the UniProt Archive (UniParc).","http://www.uniprot.org/help/submissions","https://www.uniprot.org/","Sequence biology","open","human, non-human","true","true","undefined","false","true"
"nih-18","DPCPSI, NIAMS","OpenPain","https://www.openpain.org/","The OpenPain includes a data repository of pain and brain MRI data that are collected in subjects undergoing total knee arthroplasty (TKA) and a brain imaging-based prognostic algorism (software development) to prospectively predict outcomes following total knee replacement.","https://www.openpain.org/","https://www.openpain.org/","Imaging","open","human","true","false","undefined","false","false"
"nih-19","FIC, NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NICHD, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR","INCLUDE Data Hub","https://portal.includedcc.org/login?redirect_path=/dashboard","The INCLUDE (INvestigation of Co-occurring conditions across the Lifespan to Understand Down syndromE) Project is an NIH-wide collaboration that seeks to improve health and quality-of-life for people with Down syndrome. The INCLUDE Project Data Coordinating Center and partners created the INCLUDE Data Hub, a centralized data resource that allows access to large-scale clinical and multi-omics datasets specific to Down syndrome and supports collaborative, cloud-based analysis to accelerate scientific discoveries related to Down syndrome and its co-occurring conditions.","https://www.nih.gov/include-project/frequently-asked-questions","https://portal.includedcc.org/login?redirect_path=/dashboard","Behavioral and social sciences, Clinical research, Computational biology, Imaging, Neuroscience, Other, Sequence biology","controlled, registered, open","human, non-human","true","true","undefined","true","true"
"nih-20","NCATS","EveAnalytics","https://eveanalytics.com/","EveAnalytics is designed to store, analyze and share complex multimodal datasets from in vitro 2D- and 3D-models including microplate, microphysiology systems (MPS), organ-on-chip, and organoid, as well as animal models and clinical data. It provides a streamlined workflow for designing and implementing studies and capturing data in a central location for efficient review, visualization, analyses and computational modeling.  Publicly available data and models in EveAnalytics can be used to support development of drug discovery tools, qualification, validation, and evaluation of clinical concordance and in vitro to in vivo extrapolation.","https://eveanalytics.com/","https://eveanalytics.com/","Clinical research, Computational biology, Imaging","registered, open","human, non-human","true","true","undefined","true","true"
"nih-21","NCATS","NCATS OpenData Portal","https://opendata.ncats.nih.gov/covid19/","The NCATS OpenData Portal is a resource designed to rapidly and openly share screening data and assay information. NCATS scientists have developed a number of SARS-CoV-2-related assays to measure over 10,000 compounds - including over 3,000 approved drugs - for their activity against the virus. These data include all positive and negative results from a diverse panel of repurposing screens, and can be viewed, searched and exported directly from the portal website.  The OpenData Portal has evolved to share a wider array of data, including the most comprehensive public database of in vitro therapeutic activity data available against known variants.","undefined","https://opendata.ncats.nih.gov/covid19/assays","Other","open","human, non-human","true","false","undefined","true","true"
"nih-22","NCATS, NIGMS","National COVID Cohort Collaborative (N3C)","https://covid.cd2h.org/","The N3C Data Enclave is a secure platform through which the harmonized clinical data provided by our contributing members is stored. The data itself can only be accessed through a secure cloud portal hosted by NCATS and cannot be downloaded or removed. N3C invites you to begin your journey with the Enclave and join the collaborative efforts of our partners to better understand and address the most pressing COVID-19 clinical question","https://ncats.nih.gov/n3c/about/data-overview","https://covid.cd2h.org/account-instructions","Clinical research","controlled, registered","human","true","true","undefined","true","true"
"nih-23","NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NINDS","International Mouse Phenotyping Consortium (IMPC)","https://www.mousephenotype.org/","Phenotype data on knockout mouse lines.","undefined","https://www.mousephenotype.org/understand/start-using-the-impc/","Imaging, Neuroscience, Other, Sequence biology","open","non-human","true","false","undefined","false","true"
"nih-24","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS","OpenNeuro","https://openneuro.org/","A free and open platform for validating and sharing BIDS-compliant MRI, PET, MEG, EEG, and iEEG data","undefined","https://openneuro.org/search?query={%22keywords%22:[]}","Imaging","open","human, non-human","true","true","undefined","true","true"
"nih-25","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS","The DANDI Archive","https://dandiarchive.org/","The BRAIN Initiative archive for publishing and sharing neurophysiology data including electrophysiology, optophysiology, and behavioral time-series, and images from immunostaining experiments.","undefined","https://dandiarchive.org/","Neuroscience","open","human, non-human","true","true","undefined","true","true"
"nih-26","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS","The Neuroscience Multi-omic Archive","https://nemoarchive.org/","The Neuroscience Multi-omic Archive (NeMO Archive) is a data repository specifically focused on the storage and dissemination of omic data generated from the BRAIN Initiative and related brain research projects.","undefined","https://nemoarchive.org/data/","Sequence biology","controlled, open","human, non-human","true","true","undefined","true","true"
"nih-27","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS","Brain Image Library (BIL)","https://www.brainimagelibrary.org/index.html","The Brain Image Library (BIL) is a national public resource enabling researchers to deposit, analyze, mine, share and interact with large brain image datasets.","https://www.brainimagelibrary.org/submission.html","https://submit.brainimagelibrary.org/search","Imaging, Neuroscience","open","human, non-human","true","true","undefined","true","true"
"nih-28","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH, NINDS","Brain Observatory Storage Service &amp; Database (BossDB)","https://bossdb.org/","BossDB is a volumetric database for 3D and 4D neuroscience data.","undefined","https://bossdb.org/projects","Imaging, Neuroscience","open","human, non-human","true","true","undefined","true","true"
"nih-29","NCCIH, NHLBI, NIAAA, NIAID, NINDS","mapMECFS","https://www.mapmecfs.org/","mapMECFS houses Myalgic Encephalomyelitis/Chronic Fatigue Syndrome (ME/CFS) research data and results from across many biological and clinical disciplines. This interactive data portal enables exploration and access to complex experimental data with the goal of advancing ME/CFS discoveries, including diagnosis and treatments. Data types shared on mapMECFS include, but are not limited to, metabolomics, gene expression, microbiome, demographic, health and survey data, and others.","https://www.mapmecfs.org/","https://www.mapmecfs.org/","Clinical research, Sequence biology","registered","human, non-human","true","true","undefined","true","true"
"nih-30","NCCIH, ODS","Natural Products Magnetic Resonance Database (NP-MRD)","https://np-mrd.org/","The Natural Products Magnetic Resonance Database is a freely available cloud-based, user-friendly, FAIR electronic database. NP-MRD accepts NMR data and associated metadata from newly undertaken NP studies. The NP-MRD accepts raw (time domain data, processed spectra, assigned chemical shifts, J-couplings, RDCs, etc.), and meta-data (structures, sources, methods, taxonomy, geospatial data, etc) from natural products ranging from purified substances to crude extracts, in all major solvents. The NP-MRD includes NPs such as vitamins, minerals, and probiotics as well as small molecules derived from plants, fungi, bacteria, marine organisms, or animals.","https://np-mrd.org/sign_in","https://np-mrd.org/downloads","Other","open","non-human","true","true","undefined","true","true"
"nih-31","NCI","Imaging Data Commons (IDC)","https://portal.imaging.datacommons.cancer.gov/","The National Cancer Institute (NCI) Cancer Research Data Commons (CRDC) aims to establish a national cloud-based data science infrastructure. Imaging Data Commons (IDC) is a new data repository of CRDC supported by the Cancer Moonshot. The goal of IDC is to enable a broad spectrum of cancer researchers, with and without imaging expertise, to easily access and explore the value of de-identified imaging data and to support integrated analyses with non-imaging data utilizing CRDC Cloud Resources.","https://portal.imaging.datacommons.cancer.gov/about/","https://portal.imaging.datacommons.cancer.gov/about/","Clinical research, Computational biology, Imaging","open","human, non-human","true","false","undefined","true","true"
"nih-32","NCI","Genomic Data Commons (GDC)","https://gdc.cancer.gov/","The mission of The National Cancer Institute's (NCI) Genomic Data Commons (GDC) is to provide the cancer research community with a unified data repository that enables data sharing across cancer genomic studies in support of precision medicine. The GDC contains clinical, biospecimen, and molecular data from several cancer research programs.","https://gdc.cancer.gov/submit-data/gdc-data-submission-portal","https://gdc.cancer.gov/submit-data/data-submission-policies","Sequence biology","controlled, open","human","true","false","undefined","true","true"
"nih-33","NCI","Proteomic Data Commons (PDC)","https://pdc.cancer.gov/pdc/","The Proteomic Data Commons hosts mass spectra and process data from cancer proteomic experiments.  Many datasets have corresponding genomic and/or imaging data available in other nodes of The National Cancer Institute (NCI) Cancer Research Data Commons (CRDC).","https://pdc.cancer.gov/pdc/submit-data","https://pdc.cancer.gov/pdc/submit-data","Sequence biology","open","human","true","false","undefined","true","true"
"nih-34","NCI","Cancer Data Service (CDS)","https://datacommons.cancer.gov/repository/cancer-data-service#project-datatype","The Cancer Data Service (CDS) is a data repository under the NCI's Cancer Research Data Commons (CRDC) infrastructure for storing cancer research data generated by NCI funded programs. CDS provides secure and authorized storage and data sharing capabilities in the cloud for studies that do not have a repository specific for their data type or are wait listed or not approved by that repository for storage.  CDS hosts both controlled and open access data. Permission to access controlled data on CDS is obtained through the NCBI’s dbGaP system. CDS hosts data and offers analysis capabilities through the NCI Cloud Resources. Seven Bridges Cancer Genomics Cloud, one of the NCI’s Cloud Resources, can be used to search and analyze data. Seven Bridges-CGC is established on Amazon Web Services (AWS).","https://datacommons.cancer.gov/repository/cancer-data-service","https://datacommons.cancer.gov/repository/cancer-data-service","Computational biology, Sequence biology","controlled, open","human","true","false","undefined","true","true"
"nih-35","NCI","Integrated Canine Data Commons (ICDC)","https://caninecommons.cancer.gov/#/","NCI's Division of Cancer Treatment and Diagnosis (DCTD) charged the Frederick National Laboratory for Cancer Research (FNLCR) to build the Integrated Canine Data Commons (ICDC), a cloud-based repository of spontaneously-arising canine cancer data. ICDC was established to further research on human cancers by enabling comparative analysis with canine cancer. The data in the ICDC is sourced from multiple different programs and projects; all focused on canine subjects. The data is harmonized into an integrated data model and then made available to the research community. The ICDC is part of the Cancer Research Data Commons (CRDC), an initiative from NCI’s Center for Biomedical Informatics and Information Technology (CBIIT). Bioinformatic analysis of the ICDC data is accomplished using the CRDC’s Cloud Resources.","https://caninecommons.cancer.gov/#/submit","https://caninecommons.cancer.gov/#/icdc-data-model","Clinical research, Computational biology, Sequence biology","open","non-human","true","false","undefined","true","true"
"nih-36","NCI","Cancer Nanotechnology Laboratory (caNanoLab)","https://cananolab.cancer.gov/#/","caNanoLab is a data sharing portal designed to facilitate information sharing in the biomedical nanotechnology research community to expedite and validate the use of nanotechnology in biomedicine. caNanoLab provides support for the annotation of nanomaterials with characterizations resulting from physico-chemical, in vitro, and in vivo assays and the sharing of these characterizations and associated nanotechnology protocols in a secure fashion.","https://wiki.nci.nih.gov/display/caNanoLab/caNanoLab+and+Data+Sharing","https://wiki.nci.nih.gov/display/caNanoLab/caNanoLab+and+Data+Sharing","Other","registered, open","human","true","true","undefined","true","true"
"nih-37","NCI","CCDI Childhood Cancer Data Catalog (CCDC)","https://datacatalog.ccdi.cancer.gov/","The Childhood Cancer Data Initiative (CCDI’s) CCDC is an inventory of pediatric oncology data resources. This includes childhood cancer repositories, registries, knowledgebases, and catalogs that either manage or refer to data. The contact details can be used to connect with resource owners to learn more about how to gain access to the data. The data catalog does not provide access to a resource’s data.","undefined","undefined","Clinical research, Computational biology, Imaging, Sequence biology","open","human, non-human","true","false","undefined","false","false"
"nih-38","NCI","CCDI Molecular Targets Platform (MTP)","https://moleculartargets.ccdi.cancer.gov/","The CCDI MTP allows researchers to browse and identify associations between molecular targets, diseases, and drugs specific for childhood cancers.","undefined","undefined","Clinical research, Computational biology, Sequence biology","open","human, non-human","true","false","undefined","false","false"
"nih-39","NCI","The Cancer Imaging Archive (TCIA)","https://www.cancerimagingarchive.net/","TCIA is a service which de-identifies and publishes medical image datasets to study cancer. The data are organized as “Collections”, typically subjects related by a common disease (e.g. lung cancer), image modality (MRI, CT, etc) or research focus. DICOM is the primary file format used by TCIA for radiology image storage. Supporting data related to the images such as patient outcomes, treatment details, genomics, pathology, and image analyses are also provided when available.","https://www.cancerimagingarchive.net/primary-data/","https://www.cancerimagingarchive.net/access-data/","Imaging","controlled, registered, open","human, non-human","true","true","undefined","true","true"
"nih-40","NCI","The Cancer Target Discovery and Development (CTD²) Data Portal","https://ocg.cancer.gov/programs/ctd2/data-portal","The CTD² Data Portal provides access to raw/analyzed primary data generated from different types of experimental and computational approaches. Examples of data types on the Data Portal include chemical genetic screens (small-molecules, natural products); genome-wide gain-of-function (cDNA expression libraries, CRISPRa); genome-wide loss-of-function (siRNA, shRNA, CRISPR/Cas9, CRISPRi); and protein-protein interactions, etc.","undefined","https://ocg.cancer.gov/programs/ctd2/using-ctd2-data","Computational biology, Sequence biology","open","human, non-human","true","false","undefined","false","true"
"nih-41","NCI","The Cancer Target Discovery and Development (CTD²) Dashboard","https://ctd2-dashboard.nci.nih.gov/dashboard/","The CTD² Dashboard compiles the Network-generated conclusions, or “observations,” associated with a specific gene, cell line, animal model, or perturbagen. It provides supporting evidence with links to data, references, and to the validation strength of the evidence. Data is generated from multiple types of biological and analytical approaches used by CTD² Centers. The Dashboard allows easy navigation to a broad range of computational and non-computational scientists.","undefined","https://ocg.cancer.gov/programs/ctd2/using-ctd2-data","Computational biology, Sequence biology","open","human, non-human","true","false","undefined","false","false"
"nih-42","NCI","HCMI Searchable Catalog","https://hcmi-searchable-catalog.nci.nih.gov/","HCMI Searchable Catalog is a continuously updated resource for querying the available next-generation models developed by the Human Cancer Models Initiative (HCMI). Within the Catalog, users can search by patient demographics, tumor, and model elements including age at diagnosis, sex, treatment information, clinical tumor diagnosis, primary site, clinical stage, and type of model (e.g. 3D-organoid, 2D-conditionally reprogrammed cells), open-access masked somatic MAF variants, etc.","undefined","https://ocg.cancer.gov/data/data-access","Clinical research, Sequence biology","open","human","true","false","undefined","false","true"
"nih-43","NCI","The Network Data Exchange (NDEx)","https://www.ndexbio.org","NDEx is an online commons where scientists can upload, share, and publicly distribute biological networks and pathway models. The NDEx Project maintains a web-accessible public server, a documentation website, provides seamless connectivity to Cytoscape as well as programmatic access using a variety of languages including Python and Java. NDEx  users can easily create accounts or sign in using their Google credentials thanks to  the supported open authentication (OAUTH2) method  and mint DOIs for their networks to use in publications or include in other resources for long term access.","https://home.ndexbio.org/sharing-and-accessing-networks/","https://home.ndexbio.org/finding-and-querying-networks/","Computational biology, Other, Sequence biology","open","human, non-human","false","true","undefined","true","true"
"nih-44","NCI","NCI-IND","https://cipinddirectory.cancer.gov","This IND Directory serves a centralized resource to facilitate the sharing of IND information.","https://cipinddirectory.cancer.gov/add_request.php","https://cipinddirectory.cancer.gov","Imaging","controlled, open","human","true","true","undefined","true","true"
"nih-45","NCI, NHGRI, NICHD","Mouse Genome Informatics (MGI)","http://www.informatics.jax.org/","MGI is the international database resource for the laboratory mouse, providing integrated genetic, genomic, and biological data to facilitate the study of human health and disease.","http://www.informatics.jax.org/submit.shtml","http://www.informatics.jax.org/software.shtml","Behavioral and social sciences, Computational biology, Neuroscience, Sequence biology","open","non-human","true","true","undefined","true","true"
"nih-46","NCI, NIAID, NIGMS","Protein Data Bank","https://www.rcsb.org/","The mission of the RCSB Protein Data Bank (PDB) is to sustain a unique data resource of three-dimensional biomolecular structure information.","https://www.rcsb.org/#Category-deposit","https://www.rcsb.org/","Computational biology, Imaging","open","human, non-human","true","true","undefined","true","true"
"nih-47","NEI","NEI Data Commons","https://neidatacommons.nei.nih.gov/","The NEI Data Commons provides the vision research community with a central website to fine NEI supported data and resources.","undefined","undefined","Clinical research, Computational biology, Imaging, Neuroscience, Sequence biology","controlled, registered, open","human, non-human","true","false","undefined","false","true"
"nih-48","NHGRI","The NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space (AnVIL)","https://anvil.terra.bio","The NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space (AnVIL) is a cloud-based genomic data sharing and analysis platform.  AnVIL facilitates integration and computing on and across large datasets generated by NHGRI programs, as well as initiatives funded by National Institutes of Health (NIH), or by other agencies that support human genomics research.  AnVIL is a component of the emerging federated data ecosystem and actively collaborates and integrates with other genomic data resources through the adoption of the FAIR (Findable, Accessible, Interoperable, Reusable) principles. AnVIL provides a collaborative environment and interfaces for consortia and researchers. AnVIL  offers training and functionality for users that have limited computational expertise as well as sophisticated data scientist users.","https://anvilproject.org/learn/data-submitters/submission-guide/data-submitters-overview/","https://anvilproject.org/learn/accessing-data/requesting-data-access/","Clinical research, Computational biology, Neuroscience, Other, Sequence biology","controlled, registered, open","human","true","true","undefined","true","true"
"nih-49","NHGRI","Saccharomyces Genome Database (SGD)","https://www.yeastgenome.org/","The Saccharomyces Genome Database (SGD) provides comprehensive integrated biological information for the budding yeast Saccharomyces cerevisiae along with search and analysis tools to explore these data, enabling the discovery of functional relationships between sequence and gene products in fungi and higher organisms.","https://www.yeastgenome.org/submitData","https://www.yeastgenome.org/search?q=&is_quick=true","Sequence biology","open","non-human","true","false","undefined","false","true"
"nih-50","NHGRI","Zebrafish Information Network (ZFIN)","https://zfin.org/","The Zebrafish Information Network (ZFIN) is the database of genetic and genomic data for the zebrafish (Danio rerio) as a model organism. ZFIN provides a wide array of expertly curated, organized and cross-referenced zebrafish research data.","https://zfin.org/action/submit-data","https://zfin.org/","Sequence biology","open","non-human","true","true","undefined","false","true"
