page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url,is_filter
1029_home,6,674,680,0.008823529411764706,1029,sjr_29561,1029,Journals of Gerontology - Series B Psychological Sciences and Social Sciences,journal,"10795014, 17585368","2,311",Q1,169,272,694,8433,4446,676,"6,87","31,00",United States,Northern America,Gerontological Society of America,1995-2022,Clinical Psychology (Q1); Geriatrics and Gerontology (Q1); Gerontology (Q1); Health (social science) (Q1); Life-span and Life-course Studies (Q1); Medicine (miscellaneous) (Q1); Social Psychology (Q1); Sociology and Political Science (Q1),Medicine; Nursing; Psychology; Social Sciences,https://academic.oup.com/psychsocgerontology,False
102_home,2,85,87,0.022988505747126436,102,sjr_14181,102,Annual Review of Neuroscience,journal,"0147006X, 15454126","8,389",Q1,256,27,72,4087,1166,72,"14,22","151,37",United States,Northern America,Annual Reviews Inc.,1978-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.annualreviews.org/journal/neuro,False
1030_home,2,830,832,0.002403846153846154,1030,sjr_12523,1030,Oncogene,journal,"14765594, 09509232","2,311",Q1,360,439,1522,22776,11777,1513,"7,36","51,88",United Kingdom,Western Europe,Nature Publishing Group,1987-2022,Cancer Research (Q1); Genetics (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.nature.com/onc/,False
1032_home,5,299,304,0.01644736842105263,1032,sjr_19017,1032,RNA,journal,"13558382, 14699001","2,309",Q1,187,121,416,7131,1906,415,"4,29","58,93",United States,Northern America,Cold Spring Harbor Lab Press,1995-2022,Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://rnajournal.cshlp.org/,False
1037_home,22,600,622,0.03536977491961415,1037,sjr_21101072502,1037,NAR Genomics and Bioinformatics,journal,26319268,"2,304",Q1,19,68,245,3619,1078,243,"4,41","53,22",United Kingdom,Western Europe,Oxford University Press,2019-2022,Applied Mathematics (Q1); Computer Science Applications (Q1); Genetics (Q1); Molecular Biology (Q1); Structural Biology (Q1),"Biochemistry, Genetics and Molecular Biology; Computer Science; Mathematics",https://academic.oup.com/nargab,False
1038_home,2,76,78,0.02564102564102564,1038,sjr_26746,1038,Trends in Endocrinology and Metabolism,journal,"10432760, 18793061","2,304",Q1,189,73,291,6654,2492,280,"8,28","91,15",United States,Northern America,Elsevier,1989-2022,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",https://www.cell.com/trends/endocrinology-metabolism/home,False
1039_home,2,85,87,0.022988505747126436,1039,sjr_5600155055,1039,Review of Public Personnel Administration,journal,0734371X,"2,303",Q1,54,61,92,4880,682,92,"6,75","80,00",United States,Northern America,SAGE Publications,1980-2022,Organizational Behavior and Human Resource Management (Q1); Public Administration (Q1),"Business, Management and Accounting; Social Sciences",https://journals.sagepub.com/home/rop,False
1040_home,2,76,78,0.02564102564102564,1040,sjr_21100241659,1040,Annals of the American Thoracic Society,journal,23256621,"2,300",Q1,131,346,959,7768,3516,580,"3,95","22,45",United States,Northern America,American Thoracic Society,2013-2022,Pulmonary and Respiratory Medicine (Q1),Medicine,https://www.atsjournals.org/journal/annalsats,False
1043_home,2,85,87,0.022988505747126436,1043,sjr_19700166402,1043,Circulation: Cardiovascular Interventions,journal,"19417632, 19417640","2,296",Q1,108,137,512,2134,2198,392,"3,56","15,58",United States,Northern America,Lippincott Williams and Wilkins,2008-2022,Cardiology and Cardiovascular Medicine (Q1),Medicine,https://www.ahajournals.org/journal/circinterventions,False
1045_home,2,85,87,0.022988505747126436,1045,sjr_19700188418,1045,Annual Review of Chemical and Biomolecular Engineering,journal,"19475438, 19475446","2,294",Q1,73,24,69,3168,660,66,"8,49","132,00",United States,Northern America,Annual Reviews Inc.,2010-2022,"Chemical Engineering (miscellaneous) (Q1); Chemistry (miscellaneous) (Q1); Renewable Energy, Sustainability and the Environment (Q1)",Chemical Engineering; Chemistry; Energy,https://www.annualreviews.org/journal/chembioeng,False
1047_home,56,795,851,0.06580493537015276,1047,sjr_7600153101,1047,Clinical journal of the American Society of Nephrology : CJASN,journal,"1555905X, 15559041","2,293",Q1,176,266,878,8140,4313,607,"4,88","30,60",United States,Northern America,American Society of Nephrology,2006-2022,Critical Care and Intensive Care Medicine (Q1); Epidemiology (Q1); Nephrology (Q1); Transplantation (Q1),Medicine,https://cjasn.asnjournals.org/,False
1049_home,2,85,87,0.022988505747126436,1049,sjr_21100943285,1049,Research,journal,"26395274, 20965168","2,293",Q1,40,191,381,11323,3628,381,"10,08","59,28",United States,Northern America,American Association for the Advancement of Science,2018-2022,Multidisciplinary (Q1),Multidisciplinary,https://spj.sciencemag.org/research/,False
104_home,2,85,87,0.022988505747126436,104,sjr_15646,104,Annual Review of Political Science,book series,"10942939, 15451577","8,346",Q1,123,26,74,2989,1132,74,"10,63","114,96",United States,Northern America,Annual Reviews Inc.,1998-2022,Sociology and Political Science (Q1),Social Sciences,https://www.annualreviews.org/journal/polisci,False
1051_home,2,85,87,0.022988505747126436,1051,sjr_21100820001,1051,Neurology: Neuroimmunology and NeuroInflammation,journal,23327812,"2,288",Q1,64,116,479,42,3106,443,"6,82","0,36",United States,Northern America,Lippincott Williams and Wilkins,2014-2022,Neurology (Q1); Neurology (clinical) (Q1),Medicine; Neuroscience,https://nn.neurology.org/,False
1053_home,44,606,650,0.06769230769230769,1053,sjr_26371,1053,Natural Product Reports,journal,"02650568, 14604752","2,284",Q1,200,94,260,17676,3113,256,"11,68","188,04",United Kingdom,Western Europe,Royal Society of Chemistry,1984-2022,Biochemistry (Q1); Drug Discovery (Q1); Organic Chemistry (Q1),"Biochemistry, Genetics and Molecular Biology; Chemistry; Pharmacology, Toxicology and Pharmaceutics",https://www.rsc.org/journals-books-databases/about-journals/npr/,False
1056_home,2,85,87,0.022988505747126436,1056,sjr_19700188403,1056,mBio,journal,"21612129, 21507511","2,283",Q1,154,764,2231,46826,13459,2153,"5,85","61,29",United States,Northern America,American Society for Microbiology,2010-2022,Microbiology (Q1); Virology (Q1),Immunology and Microbiology,https://mbio.asm.org/,False
105_home,4,117,121,0.03305785123966942,105,sjr_22401,105,Journal of the American College of Cardiology,journal,"15583597, 07351097","8,343",Q1,472,649,2692,20324,24597,1163,"8,96","31,32",United States,Northern America,Elsevier,1983-2022,Cardiology and Cardiovascular Medicine (Q1),Medicine,https://www.journals.elsevier.com/journal-of-the-american-college-of-cardiology,False
1060_home,2,85,87,0.022988505747126436,1060,sjr_12029,1060,Applied Psychology,journal,"0269994X, 14640597","2,279",Q1,104,103,153,8849,1348,141,"9,26","85,91",United Kingdom,Western Europe,Wiley-Blackwell,"1955, 1961-1992, 1996-2022",Applied Psychology (Q1); Arts and Humanities (miscellaneous) (Q1); Developmental and Educational Psychology (Q1),Arts and Humanities; Psychology,https://iaap-journals.onlinelibrary.wiley.com/journal/14640597,False
1061_home,2,85,87,0.022988505747126436,1061,sjr_15670,1061,Journal of Peasant Studies,journal,"03066150, 17439361","2,277",Q1,98,129,206,11255,1359,197,"6,63","87,25",United Kingdom,Western Europe,Routledge,1973-2022,Anthropology (Q1); Arts and Humanities (miscellaneous) (Q1); Cultural Studies (Q1),Arts and Humanities; Social Sciences,https://www.tandfonline.com/loi/fjps20,False
1063_home,2,85,87,0.022988505747126436,1063,sjr_13357,1063,Journal of the Learning Sciences,journal,"10508406, 15327809","2,267",Q1,105,26,69,1554,551,65,"6,40","59,77",United States,Northern America,Routledge,"1991-1992, 1994-2022",Developmental and Educational Psychology (Q1); Education (Q1),Psychology; Social Sciences,https://www.tandfonline.com/toc/hlns20/current,False
1064_home,4,117,121,0.03305785123966942,1064,sjr_22080,1064,Current Opinion in Genetics and Development,journal,"0959437X, 18790380","2,264",Q1,197,98,300,5996,1194,283,"3,88","61,18",United Kingdom,Western Europe,Elsevier,1991-2022,Developmental Biology (Q1); Genetics (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.journals.elsevier.com/current-opinion-in-genetics-and-development,False
1065_home,2,85,87,0.022988505747126436,1065,sjr_19400156815,1065,Annual Review of Analytical Chemistry,journal,"19361335, 19361327","2,263",Q1,87,13,68,1673,686,68,"8,07","128,69",United States,Northern America,Annual Reviews Inc.,2008-2022,Analytical Chemistry (Q1); Medicine (miscellaneous) (Q1),Chemistry; Medicine,https://www.annualreviews.org/journal/anchem,False
1066_home,2,85,87,0.022988505747126436,1066,sjr_29873,1066,International Journal of Cancer,journal,"00207136, 10970215","2,259",Q1,251,416,1825,18902,12503,1719,"6,16","45,44",United States,Northern America,Wiley-Liss Inc.,1966-2022,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://onlinelibrary.wiley.com/journal/10970215,False
1067_home,2,85,87,0.022988505747126436,1067,sjr_28552,1067,International Small Business Journal,journal,02662426,"2,257",Q1,104,56,107,5500,1142,104,"10,59","98,21",United Kingdom,Western Europe,SAGE Publications,1982-2022,Business and International Management (Q1),"Business, Management and Accounting",http://isb.sagepub.com/,False
1068_home,2,85,87,0.022988505747126436,1068,sjr_23246,1068,Heart Rhythm,journal,"15475271, 15563871","2,256",Q1,151,351,1023,7388,4424,810,"4,21","21,05",Netherlands,Western Europe,Elsevier,2004-2022,Cardiology and Cardiovascular Medicine (Q1); Physiology (medical) (Q1),Medicine,https://www.heartrhythmjournal.com/,False
1069_home,36,678,714,0.05042016806722689,1069,sjr_21100205761,1069,European Heart Journal Cardiovascular Imaging,journal,"20472412, 20472404","2,255",Q1,110,351,826,5845,2969,472,"3,15","16,65",United Kingdom,Western Europe,Oxford University Press,2012-2022,"Cardiology and Cardiovascular Medicine (Q1); Medicine (miscellaneous) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)",Medicine,https://academic.oup.com/ehjcimaging,False
1070_home,2,85,87,0.022988505747126436,1070,sjr_24267,1070,British Journal of Dermatology,journal,"00070963, 13652133","2,254",Q1,194,524,2171,9354,6971,728,"3,46","17,85",United Kingdom,Western Europe,Wiley-Blackwell,"1892, 1895-1896, 1898, 1901-1903, 1908, 1910-1912, 1916-2022",Dermatology (Q1); Medicine (miscellaneous) (Q1),Medicine,https://onlinelibrary.wiley.com/journal/13652133,False
1071_home,2,85,87,0.022988505747126436,1071,sjr_18091,1071,Sociological Methods and Research,journal,"00491241, 15528294","2,252",Q1,89,98,176,6357,1088,173,"7,08","64,87",United States,Northern America,SAGE Publications,1972-2022,Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1),Social Sciences,https://journals.sagepub.com/home/smr,False
1072_home,6,1075,1081,0.005550416281221091,1072,sjr_21100924827,1072,Communications Biology,journal,23993642,"2,251",Q1,58,1316,2501,84012,14885,2429,"5,63","63,84",United States,Northern America,Springer,2018-2022,"Agricultural and Biological Sciences (miscellaneous) (Q1); Biochemistry, Genetics and Molecular Biology (miscellaneous) (Q1); Medicine (miscellaneous) (Q1)","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology; Medicine",https://www.nature.com/commsbio/,False
1073_home,2,85,87,0.022988505747126436,1073,sjr_21003,1073,Environmental Health Perspectives,journal,"15529924, 00916765","2,251",Q1,313,236,557,11586,4025,415,"6,46","49,09",United States,Northern America,"Public Health Services, US Dept of Health and Human Services",1972-2022,"Health, Toxicology and Mutagenesis (Q1); Public Health, Environmental and Occupational Health (Q1)",Environmental Science; Medicine,https://ehp.niehs.nih.gov/,False
1074_home,5,476,481,0.010395010395010396,1074,sjr_28632,1074,Biostatistics,journal,"14654644, 14684357","2,248",Q1,89,80,170,2056,676,165,"2,59","25,70",United Kingdom,Western Europe,Oxford University Press,2003-2022,"Medicine (miscellaneous) (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)",Decision Sciences; Mathematics; Medicine,http://biostatistics.oxfordjournals.org/,False
1076_home,2,85,87,0.022988505747126436,1076,sjr_19400158483,1076,Social Issues and Policy Review,journal,"17512409, 17512395","2,245",Q1,44,9,27,1477,244,26,"10,11","164,11",United Kingdom,Western Europe,Wiley-Blackwell,2008-2022,Applied Psychology (Q1); Social Psychology (Q1); Social Sciences (miscellaneous) (Q1); Sociology and Political Science (Q1),Psychology; Social Sciences,https://spssi.onlinelibrary.wiley.com/journal/17512409,False
1077_home,2,85,87,0.022988505747126436,1077,sjr_21100981277,1077,Wiley Interdisciplinary Reviews: Water,journal,20491948,"2,245",Q1,54,48,210,5869,1905,207,"8,70","122,27",United States,Northern America,John Wiley and Sons,2014-2022,"Aquatic Science (Q1); Ecology (Q1); Management, Monitoring, Policy and Law (Q1); Ocean Engineering (Q1); Oceanography (Q1); Water Science and Technology (Q1)",Agricultural and Biological Sciences; Earth and Planetary Sciences; Engineering; Environmental Science,https://wires.onlinelibrary.wiley.com/journal/20491948,False
107_home,15,831,846,0.01773049645390071,107,sjr_14204,107,Nucleic Acids Research,journal,"03051048, 13624962","8,234",Q1,607,1214,3872,58320,68591,3866,"14,16","48,04",United Kingdom,Western Europe,Oxford University Press,1974-2022,Genetics (Q1),"Biochemistry, Genetics and Molecular Biology",https://academic.oup.com/nar,False
1080_home,4,117,121,0.03305785123966942,1080,sjr_19064,1080,Resuscitation,journal,"18731570, 03009572","2,242",Q1,149,381,1453,9894,4883,917,"3,48","25,97",Ireland,Western Europe,Elsevier,"1972-1976, 1978-2022",Cardiology and Cardiovascular Medicine (Q1); Emergency Medicine (Q1); Emergency Nursing (Q1),Medicine; Nursing,https://www.journals.elsevier.com/resuscitation,False
1084_home,2,76,78,0.02564102564102564,1084,sjr_21100977374,1084,Solar RRL,journal,2367198X,"2,240",Q1,63,512,1061,30507,8629,1053,"8,31","59,58",Germany,Western Europe,Wiley-VCH Verlag,2017-2022,"Atomic and Molecular Physics, and Optics (Q1); Electrical and Electronic Engineering (Q1); Electronic, Optical and Magnetic Materials (Q1); Energy Engineering and Power Technology (Q1)",Energy; Engineering; Materials Science; Physics and Astronomy,https://onlinelibrary.wiley.com/journal/2367198x,False
1085_home,2,85,87,0.022988505747126436,1085,sjr_12811,1085,Personality and Social Psychology Bulletin,journal,"01461672, 15527433","2,238",Q1,218,215,338,13581,1928,337,"5,26","63,17",United States,Northern America,SAGE Publications,"1976, 1988, 1995-2022",Social Psychology (Q1),Psychology,https://journals.sagepub.com/home/psp,False
1086_home,50,447,497,0.1006036217303823,1086,sjr_19700175052,1086,Clinical Epidemiology,journal,11791349,"2,237",Q1,71,136,338,4923,1734,327,"3,56","36,20",New Zealand,Pacific Region,Dove Medical Press,2010-2022,Epidemiology (Q1),Medicine,https://www.dovepress.com/clinical-epidemiology-journal,False
1087_home,2,85,87,0.022988505747126436,1087,sjr_19295,1087,"Gender, Work and Organization",journal,"14680432, 09686673","2,237",Q1,88,168,398,11091,2643,382,"7,28","66,02",United Kingdom,Western Europe,Wiley-Blackwell,1994-2022,Gender Studies (Q1); Organizational Behavior and Human Resource Management (Q1),"Business, Management and Accounting; Social Sciences",https://onlinelibrary.wiley.com/journal/14680432,False
1089_home,6,624,630,0.009523809523809525,1089,sjr_23845,1089,Journal of Cardiovascular Magnetic Resonance,journal,"1532429X, 10976647","2,233",Q1,109,74,296,3553,1793,296,"6,16","48,01",United Kingdom,Western Europe,BioMed Central Ltd.,1999-2022,"Cardiology and Cardiovascular Medicine (Q1); Family Practice (Q1); Radiological and Ultrasound Technology (Q1); Radiology, Nuclear Medicine and Imaging (Q1)",Health Professions; Medicine,https://jcmr-online.biomedcentral.com/,False
108_home,2,85,87,0.022988505747126436,108,sjr_21100237403,108,"Lancet Diabetes and Endocrinology,The",journal,"22138595, 22138587","8,217",Q1,151,193,587,4006,7016,241,"12,79","20,76",United Kingdom,Western Europe,Elsevier,2013-2022,"Endocrinology (Q1); Endocrinology, Diabetes and Metabolism (Q1); Internal Medicine (Q1)","Biochemistry, Genetics and Molecular Biology; Medicine",https://www.thelancet.com/journals/landia/home,False
1091_home,6,566,572,0.01048951048951049,1091,sjr_28707,1091,Angiogenesis,journal,"15737209, 09696970","2,227",Q1,98,45,159,2507,1357,142,"9,43","55,71",Netherlands,Western Europe,Springer,"1997-1999, 2001-2022",Cancer Research (Q1); Clinical Biochemistry (Q1); Physiology (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.springer.com/journal/10456/,False
1095_home,4,117,121,0.03305785123966942,1095,sjr_24804,1095,Neural Networks,journal,"08936080, 18792782","2,221",Q1,164,377,954,20055,9214,949,"8,67","53,20",United Kingdom,Western Europe,Elsevier,1988-2022,Artificial Intelligence (Q1); Cognitive Neuroscience (Q1),Computer Science; Neuroscience,https://www.journals.elsevier.com/neural-networks,False
1101_home,2,764,766,0.0026109660574412533,1101,sjr_21100867475,1101,npj Breast Cancer,journal,23744677,"2,209",Q1,40,131,261,6079,1528,254,"5,47","46,40",United Kingdom,Western Europe,Nature Publishing Group,2015-2022,"Oncology (Q1); Pharmacology (medical) (Q1); Radiology, Nuclear Medicine and Imaging (Q1)",Medicine,https://www.nature.com/npjbcancer/,False
1102_home,2,76,78,0.02564102564102564,1102,sjr_21100941105,1102,JCO Precision Oncology,journal,24734284,"2,208",Q1,41,97,479,3235,2008,443,"3,62","33,35",United States,Northern America,Lippincott Williams and Wilkins,2017-2022,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://ascopubs.org/journal/po,False
1103_home,2,85,87,0.022988505747126436,1103,sjr_12549,1103,BJOG: An International Journal of Obstetrics and Gynaecology,journal,"14700328, 14710528","2,203",Q1,180,411,1275,10222,3732,577,"2,86","24,87",United Kingdom,Western Europe,Wiley-Blackwell,"1902-1915, 1921-2022",Obstetrics and Gynecology (Q1),Medicine,https://obgyn.onlinelibrary.wiley.com/journal/14710528,False
1104_home,2,85,87,0.022988505747126436,1104,sjr_24353,1104,Journal of Economic Surveys,journal,"14676419, 09500804","2,199",Q1,105,83,149,9137,991,149,"6,42","110,08",United Kingdom,Western Europe,Wiley-Blackwell,1987-2022,Economics and Econometrics (Q1),"Economics, Econometrics and Finance",https://onlinelibrary.wiley.com/journal/14676419,False
1105_home,4,117,121,0.03305785123966942,1105,sjr_19040,1105,Seminars in Cell and Developmental Biology,journal,"10963634, 10849521","2,197",Q1,160,226,604,26765,3942,548,"6,63","118,43",United Kingdom,Western Europe,Elsevier,1992-2022,Cell Biology (Q1); Developmental Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.sciencedirect.com/journal/seminars-in-cell-and-developmental-biology,False
1106_home,2,76,78,0.02564102564102564,1106,sjr_21100873339,1106,ESMO Open,journal,20597029,"2,196",Q1,49,254,583,8738,3300,503,"5,73","34,40",United Kingdom,Western Europe,Elsevier,2016-2022,Cancer Research (Q1); Oncology (Q1),"Biochemistry, Genetics and Molecular Biology; Medicine",https://esmoopen.bmj.com/,False
1107_home,4,117,121,0.03305785123966942,1107,sjr_19669,1107,Current Opinion in Microbiology,journal,"18790364, 13695274","2,195",Q1,193,109,297,6732,2040,276,"5,18","61,76",United Kingdom,Western Europe,Elsevier,1998-2022,Infectious Diseases (Q1); Microbiology (Q1); Microbiology (medical) (Q1),Immunology and Microbiology; Medicine,https://www.journals.elsevier.com/current-opinion-in-microbiology,False
1108_home,2,85,87,0.022988505747126436,1108,sjr_23145,1108,Language Learning,journal,"14679922, 00238333","2,195",Q1,124,72,127,4395,748,119,"4,91","61,04",United Kingdom,Western Europe,Wiley-Blackwell,"1948-1953, 1955-1956, 1958-2022",Education (Q1); Linguistics and Language (Q1),Social Sciences,https://onlinelibrary.wiley.com/journal/14679922,False
