domain_name,domain_type,agency,organization_name,city,state,security_contact_email,url,name,website_id,page_type,page_id
cns.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://cns.gov,cns.gov,cns-gov,home,0
joinamericorps.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://joinamericorps.gov,joinamericorps.gov,joinamericorps-gov,home,0
mentor.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://mentor.gov,mentor.gov,mentor-gov,home,0
mlkday.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://mlkday.gov,mlkday.gov,mlkday-gov,home,0
nationalservice.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://nationalservice.gov,nationalservice.gov,nationalservice-gov,home,0
presidentialserviceawards.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://presidentialserviceawards.gov,presidentialserviceawards.gov,presidentialserviceawards-gov,home,0
serve.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://serve.gov,serve.gov,serve-gov,home,0
vistacampus.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://vistacampus.gov,vistacampus.gov,vistacampus-gov,home,0
volunteeringinamerica.gov,Federal - Executive,Corporation for National and Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,https://volunteeringinamerica.gov,volunteeringinamerica.gov,volunteeringinamerica-gov,home,0
cigie.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,https://cigie.gov,cigie.gov,cigie-gov,home,0
ignet.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,https://ignet.gov,ignet.gov,ignet-gov,home,0
oversight.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,https://oversight.gov,oversight.gov,oversight-gov,home,0
pandemicoversight.gov,Federal - Executive,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,https://pandemicoversight.gov,pandemicoversight.gov,pandemicoversight-gov,home,0
csosa.gov,Federal - Executive,Court Services and Offender Supervision Agency,Office of information Technology,Washington,DC,Soc@csosa.gov,https://csosa.gov,csosa.gov,csosa-gov,home,0
pretrialservices.gov,Federal - Executive,Court Services and Offender Supervision Agency,Pretrial Services Agency for the District of Columbia,Washington,DC,PSAITSecurity@PSA.gov,https://pretrialservices.gov,pretrialservices.gov,pretrialservices-gov,home,0
psa.gov,Federal - Executive,Court Services and Offender Supervision Agency,Court Services and Offender Supervision Agency,Washington,DC,PSAITSecurity@PSA.gov,https://psa.gov,psa.gov,psa-gov,home,0
dnfsb.gov,Federal - Executive,Defense Nuclear Facilities Safety Board,Defense Nuclear Facilities Safety Board,Washington,DC,cyberalerts@dnfsb.gov,https://dnfsb.gov,dnfsb.gov,dnfsb-gov,home,0
dra.gov,Federal - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,MS,(blank),https://dra.gov,dra.gov,dra-gov,home,0
denali.gov,Federal - Executive,Denali Commission,Denali Commission,Anchorage,AK,jherrick@denali.gov,https://denali.gov,denali.gov,denali-gov,home,0
2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,https://2020census.gov,2020census.gov,2020census-gov,home,0
ap.gov,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,https://ap.gov,ap.gov,ap-gov,home,0
aviationweather.gov,Federal - Executive,Department of Commerce,National Weather Service,Silver Spring,MD,security@noaa.gov,https://aviationweather.gov,aviationweather.gov,aviationweather-gov,home,0
bea.gov,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,MD,bea-cirt@bea.gov,https://bea.gov,bea.gov,bea-gov,home,0
bis.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,https://bis.gov,bis.gov,bis-gov,home,0
bldrdoc.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Boulder,CO,siirt@nist.gov,https://bldrdoc.gov,bldrdoc.gov,bldrdoc-gov,home,0
buyusa.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://buyusa.gov,buyusa.gov,buyusa-gov,home,0
census.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,https://census.gov,census.gov,census-gov,home,0
chips.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://chips.gov,chips.gov,chips-gov,home,0
climate.gov,Federal - Executive,Department of Commerce,NWS/OPS33,Silver Spring,MD,security@noaa.gov,https://climate.gov,climate.gov,climate-gov,home,0
commerce.gov,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,esoc@doc.gov,https://commerce.gov,commerce.gov,commerce-gov,home,0
cwc.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,https://cwc.gov,cwc.gov,cwc-gov,home,0
dataprivacyframework.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington DC,DC,chuck.hicks@trade.gov,https://dataprivacyframework.gov,dataprivacyframework.gov,dataprivacyframework-gov,home,0
dnsops.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,antd-siirt@nist.gov,https://dnsops.gov,dnsops.gov,dnsops-gov,home,0
doc.gov,Federal - Executive,Department of Commerce,Office of the Chief Information Officer,Washington,DC,esoc@doc.gov,https://doc.gov,doc.gov,doc-gov,home,0
drought.gov,Federal - Executive,Department of Commerce,NOAA/NCDC,Asheville,NC,security@noaa.gov,https://drought.gov,drought.gov,drought-gov,home,0
eda.gov,Federal - Executive,Department of Commerce,Economic Development Administration,Washington,DC,esoc@doc.gov,https://eda.gov,eda.gov,eda-gov,home,0
edison.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://edison.gov,edison.gov,edison-gov,home,0
export.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://export.gov,export.gov,export-gov,home,0
firstnet.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,FirstnetEmailSec@firstnet.gov,https://firstnet.gov,firstnet.gov,firstnet-gov,home,0
fishwatch.gov,Federal - Executive,Department of Commerce,NOAA Fisheries,Silver Spring,MD,security@noaa.gov,https://fishwatch.gov,fishwatch.gov,fishwatch-gov,home,0
goes-r.gov,Federal - Executive,Department of Commerce,NASA GSFC,Greenbelt,MD,security@noaa.gov,https://goes-r.gov,goes-r.gov,goes-r-gov,home,0
gps.gov,Federal - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,Washington,DC,security@noaa.gov,https://gps.gov,gps.gov,gps-gov,home,0
heat.gov,Federal - Executive,Department of Commerce,NOAA Climate Program Office,Silver Spring,MD,security@noaa.gov,https://heat.gov,heat.gov,heat-gov,home,0
hurricanes.gov,Federal - Executive,Department of Commerce,NOAA/National Hurricane Center,Miami,FL,security@noaa.gov,https://hurricanes.gov,hurricanes.gov,hurricanes-gov,home,0
icams-portal.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,Silver Spring,MD,security@noaa.gov,https://icams-portal.gov,icams-portal.gov,icams-portal-gov,home,0
icts.gov,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,bis.cirt@bis.doc.gov,https://icts.gov,icts.gov,icts-gov,home,0
iedison.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://iedison.gov,iedison.gov,iedison-gov,home,0
internet4all.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOps@ntia.gov,https://internet4all.gov,internet4all.gov,internet4all-gov,home,0
internetforall.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOps@ntia.gov,https://internetforall.gov,internetforall.gov,internetforall-gov,home,0
luca-appeals.gov,Federal - Executive,Department of Commerce,Census Bureau,Washington,DC,boc.cirt@census.gov,https://luca-appeals.gov,luca-appeals.gov,luca-appeals-gov,home,0
manufacturing.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Washington,DC,siirt@nist.gov,https://manufacturing.gov,manufacturing.gov,manufacturing-gov,home,0
marinecadastre.gov,Federal - Executive,Department of Commerce,NOAA Coastal Services Center,Charleston,SC,security@noaa.gov,https://marinecadastre.gov,marinecadastre.gov,marinecadastre-gov,home,0
mbda.gov,Federal - Executive,Department of Commerce,Minority Business Development Agency,Washington,DC,esoc@doc.gov,https://mbda.gov,mbda.gov,mbda-gov,home,0
mgi.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://mgi.gov,mgi.gov,mgi-gov,home,0
my2020census.gov,Federal - Executive,Department of Commerce,Census Bureau,Washington,DC,boc.cirt@census.gov,https://my2020census.gov,my2020census.gov,my2020census-gov,home,0
nehrp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://nehrp.gov,nehrp.gov,nehrp-gov,home,0
nist.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://nist.gov,nist.gov,nist-gov,home,0
noaa.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov,https://noaa.gov,noaa.gov,noaa-gov,home,0
ntia.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOPs@ntia.gov,https://ntia.gov,ntia.gov,ntia-gov,home,0
ntis.gov,Federal - Executive,Department of Commerce,National Technical Information Service,Alexandria,VA,security@ntis.gov,https://ntis.gov,ntis.gov,ntis-gov,home,0
nwirp.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://nwirp.gov,nwirp.gov,nwirp-gov,home,0
ofcm.gov,Federal - Executive,Department of Commerce,Office of the Federal Coordinator for Meteorolgy,Silver Spring,MD,security@noaa.gov,https://ofcm.gov,ofcm.gov,ofcm-gov,home,0
papahanaumokuakea.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,james.cooperman@noaa.gov,https://papahanaumokuakea.gov,papahanaumokuakea.gov,papahanaumokuakea-gov,home,0
privacyshield.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://privacyshield.gov,privacyshield.gov,privacyshield-gov,home,0
pscr.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://pscr.gov,pscr.gov,pscr-gov,home,0
sdr.gov,Federal - Executive,Department of Commerce,National Science and Technology Council,Washington,DC,security@noaa.gov,https://sdr.gov,sdr.gov,sdr-gov,home,0
selectusa.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://selectusa.gov,selectusa.gov,selectusa-gov,home,0
semiconductors.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://semiconductors.gov,semiconductors.gov,semiconductors-gov,home,0
spaceweather.gov,Federal - Executive,Department of Commerce,Space Environment Center W/NP9,Boulder,CO,security@noaa.gov,https://spaceweather.gov,spaceweather.gov,spaceweather-gov,home,0
spd15revision.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,victor.troyan@census.gov,https://spd15revision.gov,spd15revision.gov,spd15revision-gov,home,0
spectrum.gov,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOPs@ntia.gov,https://spectrum.gov,spectrum.gov,spectrum-gov,home,0
standards.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,https://standards.gov,standards.gov,standards-gov,home,0
stopfakes.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://stopfakes.gov,stopfakes.gov,stopfakes-gov,home,0
sworm.gov,Federal - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,Boulder,CO,security@noaa.gov,https://sworm.gov,sworm.gov,sworm-gov,home,0
tasefiling.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://tasefiling.gov,tasefiling.gov,tasefiling-gov,home,0
techhubs.gov,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,esoc@doc.gov,https://techhubs.gov,techhubs.gov,techhubs-gov,home,0
time.gov,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Boulder,CO,siirt@nist.gov,https://time.gov,time.gov,time-gov,home,0
tracss.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,(blank),https://tracss.gov,tracss.gov,tracss-gov,home,0
trade.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://trade.gov,trade.gov,trade-gov,home,0
tsunami.gov,Federal - Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,Palmer,AK,security@noaa.gov,https://tsunami.gov,tsunami.gov,tsunami-gov,home,0
usicecenter.gov,Federal - Executive,Department of Commerce,U. S. National Ice Center,Suitland,MD,security@noaa.gov,https://usicecenter.gov,usicecenter.gov,usicecenter-gov,home,0
uspto.gov,Federal - Executive,Department of Commerce,USPTO,Alexandria,VA,C32@uspto.gov,https://uspto.gov,uspto.gov,uspto-gov,home,0
weather.gov,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov,https://weather.gov,weather.gov,weather-gov,home,0
wwtg.gov,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,https://wwtg.gov,wwtg.gov,wwtg-gov,home,0
xd.gov,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,https://xd.gov,xd.gov,xd-gov,home,0
adlnet.gov,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,cybersecurity@adlnet.gov,https://adlnet.gov,adlnet.gov,adlnet-gov,home,0
aftac.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,Patrick AFB,FL,dco@aftac.gov,https://aftac.gov,aftac.gov,aftac-gov,home,0
altusandc.gov,Federal - Executive,Department of Defense,Air Force Technical Applications Center,Patrick AFB,FL,dco@aftac.gov,https://altusandc.gov,altusandc.gov,altusandc-gov,home,0
businessdefense.gov,Federal - Executive,Department of Defense,"Office of the Under Secretary of Defense for Acquisition, Technology and Logistics",Washington,DC,(blank),https://businessdefense.gov,businessdefense.gov,businessdefense-gov,home,0
cap.gov,Federal - Executive,Department of Defense,Civil Air Patrol HQ,Maxwell AFB,AL,capadmin@capnhq.gov,https://cap.gov,cap.gov,cap-gov,home,0
capnhq.gov,Federal - Executive,Department of Defense,Civil Air Patrol HQ,Maxwell AFB,AL,capadmin@capnhq.gov,https://capnhq.gov,capnhq.gov,capnhq-gov,home,0
cmts.gov,Federal - Executive,Department of Defense,US Army Corps of Engineers,Mobile,AL,(blank),https://cmts.gov,cmts.gov,cmts-gov,home,0
cnss.gov,Federal - Executive,Department of Defense,CNSS Secretariat,Fort Meade,MD,(blank),https://cnss.gov,cnss.gov,cnss-gov,home,0
ctoc.gov,Federal - Executive,Department of Defense,MCTFT,Starke,FL,(blank),https://ctoc.gov,ctoc.gov,ctoc-gov,home,0
cttso.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,webmanager@iwtsd.gov,https://cttso.gov,cttso.gov,cttso-gov,home,0
dc3on.gov,Federal - Executive,Department of Defense,Defense Cyber Crime Center,Linthicum,MD,(blank),https://dc3on.gov,dc3on.gov,dc3on-gov,home,0
defense.gov,Federal - Executive,Department of Defense,Defense Media Activity,Fort Meade,MD,pubwebhd@defense.gov,https://defense.gov,defense.gov,defense-gov,home,0
ehr.gov,Federal - Executive,Department of Defense,Federal Electronic Health Record Modernization,Rosslyn,VA,Duc.Nguyen1@va.gov,https://ehr.gov,ehr.gov,ehr-gov,home,0
fehrm.gov,Federal - Executive,Department of Defense,FEHRM,Rosslyn,VA,christopher.c.wallace.civ@health.mil,https://fehrm.gov,fehrm.gov,fehrm-gov,home,0
fvap.gov,Federal - Executive,Department of Defense,Federal Voting Assistance Program,Alexandria,VA,tech@fvap.gov,https://fvap.gov,fvap.gov,fvap-gov,home,0
hive.gov,Federal - Executive,Department of Defense,PEO DHMS,Rosslyn,VA,christopher.c.wallace.civ@health.mil,https://hive.gov,hive.gov,hive-gov,home,0
iad.gov,Federal - Executive,Department of Defense,National Security Agency,Fort Meade,MD,Njsause@nsa.gov,https://iad.gov,iad.gov,iad-gov,home,0
intelligencecareers.gov,Federal - Executive,Department of Defense,National Security Agency,Fort Meade,MD,Njsause@nsa.gov,https://intelligencecareers.gov,intelligencecareers.gov,intelligencecareers-gov,home,0
ioss.gov,Federal - Executive,Department of Defense,Interagency OPSEC Support Staff,Greenbelt,MD,(blank),https://ioss.gov,ioss.gov,ioss-gov,home,0
itc.gov,Federal - Executive,Department of Defense,Interagency Training Center,Fort Washington,MD,itcrowd@itc.gov,https://itc.gov,itc.gov,itc-gov,home,0
iwtsd.gov,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,webmanager@iwtsd.gov,https://iwtsd.gov,iwtsd.gov,iwtsd-gov,home,0
