page_id,violations,passes,total_checks,failure_rate,page_type,index,name,type,inst,desc,city,state,blank,url,title
17,60,1219,1279,0.04691164972634871,home,17,SAFETYVIDEOS.GOV,Federal - Executive,Chemical Safety Board,U.S. Chemical Safety and Hazard Investigation Board,Washington,DC,andrew.staddon@csb.gov,SAFETYVIDEOS.GOV,SAFETYVIDEOS.GOV
19,1,806,807,0.0012391573729863693,home,19,CFTC.GOV,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,CFTC.GOV,CFTC.GOV
21,5,571,576,0.008680555555555556,home,21,SMARTCHECK.GOV,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,SMARTCHECK.GOV,SMARTCHECK.GOV
22,35,502,537,0.06517690875232775,home,22,WHISTLEBLOWER.GOV,Federal - Executive,Commodity Futures Trading Commission,Commodity Futures Trading Commission,Washington,DC,Security_VDP@cftc.gov,WHISTLEBLOWER.GOV,WHISTLEBLOWER.GOV
23,0,734,734,0.0,home,23,BCFP.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,BCFP.GOV,BCFP.GOV
24,0,734,734,0.0,home,24,CFPA.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CFPA.GOV,CFPA.GOV
25,0,734,734,0.0,home,25,CFPB.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CFPB.GOV,CFPB.GOV
26,0,734,734,0.0,home,26,CONSUMERBUREAU.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERBUREAU.GOV,CONSUMERBUREAU.GOV
27,0,734,734,0.0,home,27,CONSUMERFINANCE.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERFINANCE.GOV,CONSUMERFINANCE.GOV
28,0,734,734,0.0,home,28,CONSUMERFINANCIAL.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERFINANCIAL.GOV,CONSUMERFINANCIAL.GOV
29,0,734,734,0.0,home,29,CONSUMERFINANCIALBUREAU.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERFINANCIALBUREAU.GOV,CONSUMERFINANCIALBUREAU.GOV
30,0,734,734,0.0,home,30,CONSUMERFINANCIALPROTECTIONBUREAU.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERFINANCIALPROTECTIONBUREAU.GOV,CONSUMERFINANCIALPROTECTIONBUREAU.GOV
31,0,734,734,0.0,home,31,CONSUMERPROTECTION.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERPROTECTION.GOV,CONSUMERPROTECTION.GOV
32,0,734,734,0.0,home,32,CONSUMERPROTECTIONBUREAU.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,CONSUMERPROTECTIONBUREAU.GOV,CONSUMERPROTECTIONBUREAU.GOV
33,16,504,520,0.03076923076923077,home,33,MIMM.GOV,Federal - Executive,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,Washington,DC,security@cfpb.gov,MIMM.GOV,MIMM.GOV
34,9,560,569,0.015817223198594025,home,34,ANCHORIT.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,ANCHORIT.GOV,ANCHORIT.GOV
35,20,1031,1051,0.019029495718363463,home,35,ATVSAFETY.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,ATVSAFETY.GOV,ATVSAFETY.GOV
36,10,763,773,0.0129366106080207,home,36,CPSC.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,CPSC.GOV,CPSC.GOV
37,20,907,927,0.021574973031283712,home,37,DRYWALLRESPONSE.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,DRYWALLRESPONSE.GOV,DRYWALLRESPONSE.GOV
38,19,634,653,0.02909647779479326,home,38,POOLSAFELY.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,POOLSAFELY.GOV,POOLSAFELY.GOV
39,19,634,653,0.02909647779479326,home,39,POOLSAFETY.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,POOLSAFETY.GOV,POOLSAFETY.GOV
40,4,209,213,0.018779342723004695,home,40,RECALLS.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,RECALLS.GOV,RECALLS.GOV
41,0,270,270,0.0,home,41,SAFERPRODUCT.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,SAFERPRODUCT.GOV,SAFERPRODUCT.GOV
42,0,270,270,0.0,home,42,SAFERPRODUCTS.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,SAFERPRODUCTS.GOV,SAFERPRODUCTS.GOV
43,8,1096,1104,0.007246376811594203,home,43,SEGURIDADCONSUMIDOR.GOV,Federal - Executive,Consumer Product Safety Commission,Consumer Product Safety Commission,Bethesda,MD,csirt@cpsc.gov,SEGURIDADCONSUMIDOR.GOV,SEGURIDADCONSUMIDOR.GOV
46,3,1165,1168,0.0025684931506849314,home,46,AMERICORPS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,AMERICORPS.GOV,AMERICORPS.GOV
47,5,20,25,0.2,home,47,AMERICORPSOIG.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps Office of Inspector General,Washington,DC,IT@cncsoig.gov,AMERICORPSOIG.GOV,AMERICORPSOIG.GOV
50,7,17,24,0.2916666666666667,home,50,CNCSOIG.GOV,Federal - Executive,Corporation for National & Community Service,"Corporation for National and Community Service, Office Of Inspector General,",Washington,DC,IT@cncsoig.gov,CNCSOIG.GOV,CNCSOIG.GOV
52,4,1518,1522,0.002628120893561104,home,52,JOINAMERICORPS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,JOINAMERICORPS.GOV,JOINAMERICORPS.GOV
53,3,1013,1016,0.002952755905511811,home,53,MENTOR.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,MENTOR.GOV,MENTOR.GOV
54,3,1223,1226,0.0024469820554649264,home,54,MLKDAY.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,MLKDAY.GOV,MLKDAY.GOV
55,3,1165,1168,0.0025684931506849314,home,55,NATIONALSERVICE.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,NATIONALSERVICE.GOV,NATIONALSERVICE.GOV
56,6,234,240,0.025,home,56,PRESIDENTIALSERVICEAWARDS.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,PRESIDENTIALSERVICEAWARDS.GOV,PRESIDENTIALSERVICEAWARDS.GOV
57,4,1152,1156,0.0034602076124567475,home,57,SERVE.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,SERVE.GOV,SERVE.GOV
59,3,1165,1168,0.0025684931506849314,home,59,VOLUNTEERINGINAMERICA.GOV,Federal - Executive,Corporation for National & Community Service,AmeriCorps,Washington,DC,Unsafe@cns.gov,VOLUNTEERINGINAMERICA.GOV,VOLUNTEERINGINAMERICA.GOV
61,5,20,25,0.2,home,61,IGNET.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,IGNET.GOV,IGNET.GOV
62,5,20,25,0.2,home,62,OVERSIGHT.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,OVERSIGHT.GOV,OVERSIGHT.GOV
63,2,1275,1277,0.0015661707126076742,home,63,PANDEMICOVERSIGHT.GOV,Federal - Executive,Council of Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,Washington,DC,security@cigie.gov,PANDEMICOVERSIGHT.GOV,PANDEMICOVERSIGHT.GOV
68,28,2049,2077,0.013480982185844969,home,68,DRA.GOV,Federal - Executive,Delta Regional Authority,Delta Regional Authority,Clarksdale,MS,(blank),DRA.GOV,DRA.GOV
69,8,332,340,0.023529411764705882,home,69,DENALI.GOV,Federal - Executive,Denali Commission,Denali Commission,Anchorage,AK,jherrick@denali.gov,DENALI.GOV,DENALI.GOV
70,4,2,6,0.6666666666666666,home,70,2020CENSUS.GOV,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,2020CENSUS.GOV,2020CENSUS.GOV
71,5,19,24,0.20833333333333334,home,71,AP.GOV,Federal - Executive,Department of Commerce,TCD / BIS / Dept of Commerce,Washington,DC,BIS.CIRT@bis.doc.gov,AP.GOV,AP.GOV
72,5,1171,1176,0.004251700680272109,home,72,AVIATIONWEATHER.GOV,Federal - Executive,Department of Commerce,National Weather Service,Silver Spring,MD,security@noaa.gov,AVIATIONWEATHER.GOV,AVIATIONWEATHER.GOV
73,2,811,813,0.0024600246002460025,home,73,BEA.GOV,Federal - Executive,Department of Commerce,Bureau of Economic Analysis,Suitland,MD,bea-cirt@bea.gov,BEA.GOV,BEA.GOV
74,15,862,877,0.01710376282782212,home,74,BIS.GOV,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,BIS.GOV,BIS.GOV
76,8,1152,1160,0.006896551724137931,home,76,BUYUSA.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,BUYUSA.GOV,BUYUSA.GOV
77,85,1297,1382,0.06150506512301013,home,77,CENSUS.GOV,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,CENSUS.GOV,CENSUS.GOV
78,4,856,860,0.004651162790697674,home,78,CHIPS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,CHIPS.GOV,CHIPS.GOV
79,5,18,23,0.21739130434782608,home,79,CLIMATE.GOV,Federal - Executive,Department of Commerce,NWS/OPS33,Silver Spring,MD,security@noaa.gov,CLIMATE.GOV,CLIMATE.GOV
80,3,791,794,0.003778337531486146,home,80,COMMERCE.GOV,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,esoc@doc.gov,COMMERCE.GOV,COMMERCE.GOV
81,5,8,13,0.38461538461538464,home,81,CWC.GOV,Federal - Executive,Department of Commerce,Bureau of Industry and Security,Washington,DC,BIS.CIRT@bis.doc.gov,CWC.GOV,CWC.GOV
83,3,52,55,0.05454545454545454,home,83,DNSOPS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,antd-siirt@nist.gov,DNSOPS.GOV,DNSOPS.GOV
84,3,791,794,0.003778337531486146,home,84,DOC.GOV,Federal - Executive,Department of Commerce,Office of the Chief Information Officer,Washington,DC,esoc@doc.gov,DOC.GOV,DOC.GOV
85,38,1467,1505,0.02524916943521595,home,85,DROUGHT.GOV,Federal - Executive,Department of Commerce,NOAA/NCDC,Asheville,NC,security@noaa.gov,DROUGHT.GOV,DROUGHT.GOV
86,8,1093,1101,0.007266121707538601,home,86,EDA.GOV,Federal - Executive,Department of Commerce,Economic Development Administration,Washington,DC,esoc@doc.gov,EDA.GOV,EDA.GOV
87,11,821,832,0.013221153846153846,home,87,EDISON.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,EDISON.GOV,EDISON.GOV
88,4,1779,1783,0.002243409983174425,home,88,EXPORT.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,EXPORT.GOV,EXPORT.GOV
89,33,993,1026,0.03216374269005848,home,89,FIRSTNET.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,FirstnetEmailSec@firstnet.gov,FIRSTNET.GOV,FIRSTNET.GOV
90,10,1367,1377,0.007262164124909223,home,90,FISHWATCH.GOV,Federal - Executive,Department of Commerce,NOAA Fisheries,Silver Spring,MD,security@noaa.gov,FISHWATCH.GOV,FISHWATCH.GOV
91,11,751,762,0.014435695538057743,home,91,GOES-R.GOV,Federal - Executive,Department of Commerce,NASA GSFC,Greenbelt,MD,security@noaa.gov,GOES-R.GOV,GOES-R.GOV
92,16,375,391,0.04092071611253197,home,92,GPS.GOV,Federal - Executive,Department of Commerce,National Executive Committee for Space-Based PNT,Washington,DC,security@noaa.gov,GPS.GOV,GPS.GOV
93,4,1055,1059,0.003777148253068933,home,93,HEAT.GOV,Federal - Executive,Department of Commerce,NOAA Climate Program Office,Silver Spring,MD,security@noaa.gov,HEAT.GOV,HEAT.GOV
94,34,867,901,0.03773584905660377,home,94,HURRICANES.GOV,Federal - Executive,Department of Commerce,NOAA/National Hurricane Center,Miami,FL,security@noaa.gov,HURRICANES.GOV,HURRICANES.GOV
95,8,126,134,0.05970149253731343,home,95,ICAMS-PORTAL.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration Office of the Federal Coordinator for Meteorology,Silver Spring,MD,security@noaa.gov,ICAMS-PORTAL.GOV,ICAMS-PORTAL.GOV
97,11,821,832,0.013221153846153846,home,97,IEDISON.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,IEDISON.GOV,IEDISON.GOV
98,19,653,672,0.028273809523809524,home,98,INTERNET4ALL.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOps@ntia.gov,INTERNET4ALL.GOV,INTERNET4ALL.GOV
99,19,653,672,0.028273809523809524,home,99,INTERNETFORALL.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOps@ntia.gov,INTERNETFORALL.GOV,INTERNETFORALL.GOV
101,2,397,399,0.005012531328320802,home,101,MANUFACTURING.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Washington,DC,siirt@nist.gov,MANUFACTURING.GOV,MANUFACTURING.GOV
102,10,240,250,0.04,home,102,MARINECADASTRE.GOV,Federal - Executive,Department of Commerce,NOAA Coastal Services Center,Charleston,SC,security@noaa.gov,MARINECADASTRE.GOV,MARINECADASTRE.GOV
103,9,876,885,0.010169491525423728,home,103,MBDA.GOV,Federal - Executive,Department of Commerce,Minority Business Development Agency,Washington,DC,esoc@doc.gov,MBDA.GOV,MBDA.GOV
105,4,8,12,0.3333333333333333,home,105,MY2020CENSUS.GOV,Federal - Executive,Department of Commerce,Census Bureau,Washington,DC,boc.cirt@census.gov,MY2020CENSUS.GOV,MY2020CENSUS.GOV
106,24,474,498,0.04819277108433735,home,106,NEHRP.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,NEHRP.GOV,NEHRP.GOV
107,4,1098,1102,0.003629764065335753,home,107,NIST.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,NIST.GOV,NIST.GOV
108,5,18,23,0.21739130434782608,home,108,NOAA.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov,NOAA.GOV,NOAA.GOV
109,4,10,14,0.2857142857142857,home,109,NTIA.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOPs@ntia.gov,NTIA.GOV,NTIA.GOV
113,50,786,836,0.05980861244019139,home,113,PAPAHANAUMOKUAKEA.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,james.cooperman@noaa.gov,PAPAHANAUMOKUAKEA.GOV,PAPAHANAUMOKUAKEA.GOV
114,10,533,543,0.01841620626151013,home,114,PRIVACYSHIELD.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,PRIVACYSHIELD.GOV,PRIVACYSHIELD.GOV
115,5,1036,1041,0.004803073967339097,home,115,PSCR.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,PSCR.GOV,PSCR.GOV
116,11,156,167,0.0658682634730539,home,116,SDR.GOV,Federal - Executive,Department of Commerce,National Science and Technology Council,Washington,DC,security@noaa.gov,SDR.GOV,SDR.GOV
117,8,857,865,0.009248554913294798,home,117,SELECTUSA.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,SELECTUSA.GOV,SELECTUSA.GOV
118,4,856,860,0.004651162790697674,home,118,SEMICONDUCTORS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,SEMICONDUCTORS.GOV,SEMICONDUCTORS.GOV
119,28,2019,2047,0.013678553981436248,home,119,SPACEWEATHER.GOV,Federal - Executive,Department of Commerce,Space Environment Center W/NP9,Boulder,CO,security@noaa.gov,SPACEWEATHER.GOV,SPACEWEATHER.GOV
120,23,365,388,0.059278350515463915,home,120,SPD15REVISION.GOV,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,victor.troyan@census.gov,SPD15REVISION.GOV,SPD15REVISION.GOV
121,2,526,528,0.003787878787878788,home,121,SPECTRUM.GOV,Federal - Executive,Department of Commerce,National Telecommunications and Information Administration,Washington,DC,NTIA-SecOPs@ntia.gov,SPECTRUM.GOV,SPECTRUM.GOV
122,18,952,970,0.018556701030927835,home,122,STANDARDS.GOV,Federal - Executive,Department of Commerce,National Institute of Standards and Technology,Gaithersburg,MD,siirt@nist.gov,STANDARDS.GOV,STANDARDS.GOV
123,38,490,528,0.07196969696969698,home,123,STOPFAKES.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,STOPFAKES.GOV,STOPFAKES.GOV
124,7,127,134,0.05223880597014925,home,124,SWORM.GOV,Federal - Executive,Department of Commerce,NOAA/Space Weather Prediction Center,Boulder,CO,security@noaa.gov,SWORM.GOV,SWORM.GOV
125,8,84,92,0.08695652173913043,home,125,TASEFILING.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,TASEFILING.GOV,TASEFILING.GOV
126,8,963,971,0.008238928939237899,home,126,TECHHUBS.GOV,Federal - Executive,Department of Commerce,Department of Commerce,Washington,DC,esoc@doc.gov,TECHHUBS.GOV,TECHHUBS.GOV
128,2,1294,1296,0.0015432098765432098,home,128,TRADE.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,TRADE.GOV,TRADE.GOV
129,88,2377,2465,0.03569979716024341,home,129,TSUNAMI.GOV,Federal - Executive,Department of Commerce,West Coast & Alaska Tsunami Warning Center,Palmer,AK,security@noaa.gov,TSUNAMI.GOV,TSUNAMI.GOV
130,34,571,605,0.05619834710743802,home,130,USICECENTER.GOV,Federal - Executive,Department of Commerce,U. S. National Ice Center,Suitland,MD,security@noaa.gov,USICECENTER.GOV,USICECENTER.GOV
131,12,932,944,0.012711864406779662,home,131,USPTO.GOV,Federal - Executive,Department of Commerce,USPTO,Washington,DC,C32@uspto.gov,USPTO.GOV,USPTO.GOV
132,43,1518,1561,0.02754644458680333,home,132,WEATHER.GOV,Federal - Executive,Department of Commerce,National Oceanic and Atmospheric Administration,Silver Spring,MD,security@noaa.gov,WEATHER.GOV,WEATHER.GOV
133,0,277,277,0.0,home,133,WWTG.GOV,Federal - Executive,Department of Commerce,International Trade Administration,Washington,DC,OpSec@trade.gov,WWTG.GOV,WWTG.GOV
134,3,345,348,0.008620689655172414,home,134,XD.GOV,Federal - Executive,Department of Commerce,Census Bureau,Suitland,MD,boc.cirt@census.gov,XD.GOV,XD.GOV
135,1,1563,1564,0.0006393861892583121,home,135,ADLNET.GOV,Federal - Executive,Department of Defense,Advanced Distributed Learning Initiative,Washington,DC,cybersecurity@adlnet.gov,ADLNET.GOV,ADLNET.GOV
139,23,503,526,0.043726235741444866,home,139,CAP.GOV,Federal - Executive,Department of Defense,"Civil Air Patrol, USAF AUX.",Maxwell AFB,AL,capadmin@capnhq.gov,CAP.GOV,CAP.GOV
140,11,92,103,0.10679611650485436,home,140,CAPNHQ.GOV,Federal - Executive,Department of Defense,Civil Air Patrol,Maxwell AFB,AL,capadmin@capnhq.gov,CAPNHQ.GOV,CAPNHQ.GOV
141,8,1004,1012,0.007905138339920948,home,141,CMTS.GOV,Federal - Executive,Department of Defense,US Army Corps of Engineers,Mobile,AL,(blank),CMTS.GOV,CMTS.GOV
144,24,619,643,0.03732503888024884,home,144,CTTSO.GOV,Federal - Executive,Department of Defense,Combating Terrorism Technical Support Office,Arlington,VA,(blank),CTTSO.GOV,CTTSO.GOV
146,8,1514,1522,0.005256241787122208,home,146,DEFENSE.GOV,Federal - Executive,Department of Defense,Defense Media Activity,Fort Meade,MD,pubwebhd@defense.gov,DEFENSE.GOV,DEFENSE.GOV
148,12,856,868,0.013824884792626729,home,148,FVAP.GOV,Federal - Executive,Department of Defense,Federal Voting Assistance Program,Alexandria,VA,tech@fvap.gov,FVAP.GOV,FVAP.GOV
154,24,619,643,0.03732503888024884,home,154,IWTSD.GOV,Federal - Executive,Department of Defense,Irregular Warfare Technical Support Directorate,Alexandria,VA,(blank),IWTSD.GOV,IWTSD.GOV
159,21,1097,1118,0.018783542039355994,home,159,NATIONALRESOURCEDIRECTORY.GOV,Federal - Executive,Department of Defense,Office of Warrior Care Policy,Arlington,VA,(blank),NATIONALRESOURCEDIRECTORY.GOV,NATIONALRESOURCEDIRECTORY.GOV
160,3,839,842,0.0035629453681710215,home,160,NBIB.GOV,Federal - Executive,Department of Defense,Defense Counterintelligence and Security Agency,Washington,DC,kevin.crews@opm.gov,NBIB.GOV,NBIB.GOV
161,21,1097,1118,0.018783542039355994,home,161,NRD.GOV,Federal - Executive,Department of Defense,Office of Warrior Care Policy,Arlington,VA,(blank),NRD.GOV,NRD.GOV
163,13,1059,1072,0.012126865671641791,home,163,NSA.GOV,Federal - Executive,Department of Defense,National Security Agency,Fort Meade,MD,ea_dns@nsa.gov,NSA.GOV,NSA.GOV
164,15,337,352,0.04261363636363636,home,164,NSEP.GOV,Federal - Executive,Department of Defense,National Security Education Program (NSEP) at DLNSEO,Alexandria,VA,nsep@nsep.gov,NSEP.GOV,NSEP.GOV
168,20,624,644,0.031055900621118012,home,168,TAK.GOV,Federal - Executive,Department of Defense,TAK Product Center,Fort Belvoir,VA,security@tak.gov,TAK.GOV,TAK.GOV
169,24,631,655,0.0366412213740458,home,169,TSWG.GOV,Federal - Executive,Department of Defense,Technical Support Working Group,Arlington,VA,cttsosecurity@cttso.gov,TSWG.GOV,TSWG.GOV
171,5,73,78,0.0641025641025641,home,171,BUDGETLOB.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov,BUDGETLOB.GOV,BUDGETLOB.GOV
172,2,285,287,0.006968641114982578,home,172,CHILDSTATS.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov,CHILDSTATS.GOV,CHILDSTATS.GOV
173,48,1196,1244,0.03858520900321544,home,173,COLLEGENAVIGATOR.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov,COLLEGENAVIGATOR.GOV,COLLEGENAVIGATOR.GOV
174,14,700,714,0.0196078431372549,home,174,ED.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov,ED.GOV,ED.GOV
176,28,466,494,0.05668016194331984,home,176,G5.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov,G5.GOV,G5.GOV
177,3,712,715,0.004195804195804196,home,177,NAGB.GOV,Federal - Executive,Department of Education,Office of Chief Information Officer,Washington,DC,EDSOC@ed.gov,NAGB.GOV,NAGB.GOV
183,8,510,518,0.015444015444015444,home,183,ARM.GOV,Federal - Executive,Department of Energy,Battelle Pacific Northwest National Laboratory,Richland,WA,security@arm.gov,ARM.GOV,ARM.GOV
184,15,547,562,0.026690391459074734,home,184,BIOMASSBOARD.GOV,Federal - Executive,Department of Energy,Office of Energy Efficiency and Renewable Energy,Washington,DC,CIRC@JC3.DOE.GOV,BIOMASSBOARD.GOV,BIOMASSBOARD.GOV
185,55,724,779,0.07060333761232349,home,185,BNL.GOV,Federal - Executive,Department of Energy,Brookhaven National Laboratory,Upton,NY,security@bnl.gov,BNL.GOV,BNL.GOV
