page_id,violations,passes,total_checks,failure_rate,id,source_id,rank,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022,total_docs_3years,total_refs,total_cites_3years,citable_docs_3years,cites_per_doc_2years,ref_per_doc,country,region,publisher,coverage,categories,areas,url,page_type,is_filter
10106_home,7,242,249,0.028112449799196786,10106,sjr_23760,10106,Acta Stomatologica Croatica,journal,"18460410, 00017019","0,512",Q2,16,35,115,1268,204,113,"1,53","36,23",Croatia,Eastern Europe,University of Zagreb,"1966-1972, 1974-1975, 1980-1991, 2009-2022",Dentistry (miscellaneous) (Q2),Dentistry,http://www.ascro.hr/,home,False
1011_home,77,1135,1212,0.06353135313531354,1011,sjr_21100823143,1011,Virus Evolution,journal,20571577,"2,337",Q1,37,79,258,4608,1503,258,"6,41","58,33",United States,Northern America,Oxford University Press,2015-2022,Microbiology (Q1); Virology (Q1),Immunology and Microbiology,https://academic.oup.com/ve,home,False
10122_home,63,570,633,0.0995260663507109,10122,sjr_26703,10122,Polish Archives of Internal Medicine,journal,"00323772, 18979483","0,512",Q3,42,207,723,5327,1074,410,"1,70","25,73",Poland,Eastern Europe,Medycyna Praktyczna,1953-2022,Internal Medicine (Q3),Medicine,https://www.mp.pl/paim/,home,False
10131_home,78,781,859,0.09080325960419092,10131,sjr_29230,10131,International Journal of Occupational Medicine and Environmental Health,journal,"12321087, 1896494X","0,511",Q2,51,60,193,1886,438,187,"2,05","31,43",Poland,Eastern Europe,Nofer Institute of Occupational Medicine,1994-2022,"Medicine (miscellaneous) (Q2); Public Health, Environmental and Occupational Health (Q3)",Medicine,http://ijomeh.eu/,home,False
10139_home,2,128,130,0.015384615384615385,10139,sjr_21100236604,10139,Neurology: Clinical Practice,journal,"21630402, 21630933","0,511",Q3,36,78,254,2016,343,218,"1,39","25,85",United States,Northern America,Lippincott Williams and Wilkins,2011-2022,Neurology (clinical) (Q3),Medicine,https://cp.neurology.org/,home,False
10142_home,2,128,130,0.015384615384615385,10142,sjr_13418,10142,Psychoanalytic Dialogues,journal,"19409222, 10481885","0,511",Q2,55,84,270,1540,161,219,"0,54","18,33",United Kingdom,Western Europe,Taylor and Francis Ltd.,1991-2022,Clinical Psychology (Q2),Psychology,https://www.tandfonline.com/toc/hpsd20/current,home,False
10146_home,54,970,1024,0.052734375,10146,sjr_19700180557,10146,Biochemistry Research International,journal,"20902255, 20902247","0,510",Q3,44,27,60,1415,193,60,"3,10","52,41",United States,Northern America,Hindawi Publishing,2010-2022,Biochemistry (Q3),"Biochemistry, Genetics and Molecular Biology",https://www.hindawi.com/journals/bri/,home,False
10147_home,91,1463,1554,0.05855855855855856,10147,sjr_110256,10147,Canadian Family Physician,journal,"0008350X, 17155258","0,510",Q2,79,302,1030,4043,788,480,"0,68","13,39",Canada,Northern America,College of Family Physicians of Canada,"1977-1983, 1985, 1987-2022",Family Practice (Q2); Medicine (miscellaneous) (Q3),Medicine,https://www.cfp.ca/,home,False
10158_home,2,128,130,0.015384615384615385,10158,sjr_21100229190,10158,Ophthalmic Surgery Lasers and Imaging Retina,journal,"23258160, 23258179","0,510",Q2,61,113,426,2167,500,410,"1,01","19,18",United States,Northern America,Slack Incorporated,2013-2022,Ophthalmology (Q2); Surgery (Q2); Medicine (miscellaneous) (Q3),Medicine,https://www.healio.com/ophthalmology/journals/osli,home,False
10161_home,2,128,130,0.015384615384615385,10161,sjr_13152,10161,Surgical Oncology Clinics of North America,journal,"10553207, 15585042","0,510",Q2,65,58,184,3257,368,148,"1,58","56,16",United Kingdom,Western Europe,W.B. Saunders Ltd,1995-2022,Surgery (Q2); Oncology (Q3),Medicine,https://www.surgonc.theclinics.com/,home,False
10162_home,2,128,130,0.015384615384615385,10162,sjr_23763,10162,Advances in dental research,journal,"08959374, 15440737","0,509",Q3,69,0,18,0,48,17,"0,00","0,00",United States,Northern America,International Association for Dental Research,"1987-2003, 2005-2006, 2008-2016, 2018-2019",Medicine (miscellaneous) (Q3),Medicine,https://journals.sagepub.com/home/adra,home,False
10175_home,4,199,203,0.019704433497536946,10175,sjr_22319,10175,Toxicon,journal,"18793150, 00410101","0,509",Q3,140,208,707,10690,2116,689,"2,87","51,39",United Kingdom,Western Europe,Elsevier,1962-2022,Toxicology (Q3),"Pharmacology, Toxicology and Pharmaceutics",https://www.journals.elsevier.com/toxicon,home,False
10177_home,2,124,126,0.015873015873015872,10177,sjr_12480,10177,Work,journal,"18759270, 10519815","0,509",Q2,58,450,908,20524,2049,865,"2,19","45,61",Netherlands,Western Europe,IOS Press BV,1990-2022,"Rehabilitation (Q2); Medicine (miscellaneous) (Q3); Public Health, Environmental and Occupational Health (Q3)",Medicine,http://workjournal.org/,home,False
10183_home,57,792,849,0.06713780918727916,10183,sjr_19700175093,10183,Clinical Pharmacology: Advances and Applications,journal,11791438,"0,508",Q2,33,12,68,475,157,65,"2,19","39,58",New Zealand,Pacific Region,Dove Medical Press,2009-2022,Pharmacology (medical) (Q2),Medicine,https://www.dovepress.com/clinical-pharmacology-advances-and-applications-journal,home,False
10184_home,54,973,1027,0.05258033106134372,10184,sjr_21100215163,10184,Critical Care Research and Practice,journal,"20901305, 20901313","0,508",Q2,33,38,124,1130,242,124,"1,86","29,74",Egypt,Africa/Middle East,Hindawi Publishing,2012-2022,Critical Care and Intensive Care Medicine (Q2),Medicine,https://www.hindawi.com/journals/ccrp/,home,False
10190_home,4,199,203,0.019704433497536946,10190,sjr_19800188016,10190,Journal of Clinical Orthopaedics and Trauma,journal,"09765662, 22133445","0,508",Q2,35,201,1058,6217,1965,1012,"1,74","30,93",Netherlands,Western Europe,Elsevier,2010-2022,Orthopedics and Sports Medicine (Q2),Medicine,https://www.journals.elsevier.com/journal-of-clinical-orthopaedics-and-trauma,home,False
10195_home,215,2626,2841,0.07567757831749385,10195,sjr_40750,10195,Clinical Nuclear Medicine,journal,"03639762, 15360229","0,507",Q2,64,604,1449,7270,2160,1389,"1,50","12,04",United States,Northern America,Lippincott Williams and Wilkins,1978-2022,"Radiology, Nuclear Medicine and Imaging (Q2); Medicine (miscellaneous) (Q3)",Medicine,https://journals.lww.com/nuclearmed/pages/default.aspx,home,False
10196_home,2,128,130,0.015384615384615385,10196,sjr_14955,10196,Clinical Pediatrics,journal,"19382707, 00099228","0,507",Q2,71,227,548,4827,737,496,"1,35","21,26",United States,Northern America,SAGE Publications,1962-2022,"Pediatrics, Perinatology and Child Health (Q2)",Medicine,https://journals.sagepub.com/home/cpj,home,False
10216_home,4,199,203,0.019704433497536946,10216,sjr_39736,10216,Asian Journal of Surgery,journal,"02193108, 10159584","0,506",Q2,38,1136,938,9608,1324,374,"1,33","8,46",Taiwan,Asiatic Region,Elsevier,1988-2022,Surgery (Q2),Medicine,https://www.journals.elsevier.com/asian-journal-of-surgery,home,False
1021_home,34,2130,2164,0.015711645101663587,1021,sjr_19900192160,1021,Epidemiology and Psychiatric Sciences,journal,"20457979, 20457960","2,324",Q1,62,88,325,3958,2058,297,"6,78","44,98",United Kingdom,Western Europe,Cambridge University Press,2011-2022,"Epidemiology (Q1); Psychiatry and Mental Health (Q1); Public Health, Environmental and Occupational Health (Q1)",Medicine,https://www.cambridge.org/core/journals/epidemiology-and-psychiatric-sciences,home,False
10221_home,7,1771,1778,0.003937007874015748,10221,sjr_24374,10221,British Dental Journal,journal,"00070610, 14765373","0,506",Q2,91,749,2285,7300,1617,874,"0,64","9,75",United Kingdom,Western Europe,Nature Publishing Group,"1945-1951, 1960-1961, 1965-2022",Dentistry (miscellaneous) (Q2),Dentistry,https://www.nature.com/bdj/,home,False
10225_home,19,207,226,0.084070796460177,10225,sjr_25029,10225,"European journal of prosthodontics and restorative dentistry, The",journal,09657452,"0,506",Q3,29,30,69,0,129,69,"1,66","0,00",United Kingdom,Western Europe,Dennis Barber Ltd.,1992-2022,Medicine (miscellaneous) (Q3),Medicine,https://www.ejprd.org/,home,False
1022_home,4,199,203,0.019704433497536946,1022,sjr_3900148209,1022,International Journal of Clinical and Health Psychology,journal,16972600,"2,324",Q1,51,38,89,1720,836,89,"11,37","45,26",Spain,Western Europe,Elsevier,2005-2023,Clinical Psychology (Q1),Psychology,https://www.journals.elsevier.com/international-journal-of-clinical-and-health-psychology,home,False
10230_home,12,86,98,0.12244897959183673,10230,sjr_4000151705,10230,Journal of Burn Care and Research,journal,"15590488, 1559047X","0,506",Q2,87,205,531,4732,871,512,"1,46","23,08",United States,Northern America,Lippincott Williams and Wilkins,"2001, 2006-2022",Emergency Medicine (Q2); Rehabilitation (Q2); Surgery (Q2); Medicine (miscellaneous) (Q3),Medicine,https://academic.oup.com/jbcr,home,False
10237_home,4,199,203,0.019704433497536946,10237,sjr_21100904987,10237,Scientific African,journal,24682276,"0,506",Q1,24,354,950,16547,3233,946,"3,33","46,74",Netherlands,Western Europe,Elsevier,2018-2022,Multidisciplinary (Q1),Multidisciplinary,https://www.journals.elsevier.com/scientific-african/,home,False
1023_home,2,128,130,0.015384615384615385,1023,sjr_18429,1023,Chest,journal,"00123692, 19313543","2,322",Q1,315,649,2356,14179,9408,1409,"3,86","21,85",United States,Northern America,American College of Chest Physicians,1970-2022,Cardiology and Cardiovascular Medicine (Q1); Critical Care and Intensive Care Medicine (Q1); Pulmonary and Respiratory Medicine (Q1),Medicine,http://chestjournal.chestpubs.org/,home,False
10245_home,2,116,118,0.01694915254237288,10245,sjr_13051,10245,Education for Primary Care,journal,"14739879, 1475990X","0,505",Q2,22,73,278,1359,259,190,"0,97","18,62",United Kingdom,Western Europe,Taylor and Francis Ltd.,2001-2022,"Family Practice (Q2); Public Health, Environmental and Occupational Health (Q3)",Medicine,https://www.tandfonline.com/loi/tepc20,home,False
10248_home,2,128,130,0.015384615384615385,10248,sjr_19900192026,10248,Journal of Cognitive Psychology,journal,"20445911, 2044592X","0,505",Q3,69,77,189,4644,275,186,"1,28","60,31",United Kingdom,Western Europe,Taylor and Francis Ltd.,2011-2022,Experimental and Cognitive Psychology (Q3),Psychology,https://www.tandfonline.com/toc/pecp21/current,home,False
10252_home,2,128,130,0.015384615384615385,10252,sjr_110245,10252,Therapeutic Apheresis and Dialysis,journal,17449979,"0,505",Q2,58,219,326,5903,521,244,"1,57","26,95",United Kingdom,Western Europe,Wiley-Blackwell,2003-2022,Nephrology (Q2); Hematology (Q3),Medicine,https://onlinelibrary.wiley.com/journal/17449987,home,False
10256_home,2,128,130,0.015384615384615385,10256,sjr_4700152761,10256,Anesthesiology Clinics,journal,19322275,"0,504",Q2,61,67,202,3365,371,167,"1,41","50,22",United States,Northern America,W.B. Saunders Ltd,2006-2022,Anesthesiology and Pain Medicine (Q2); Medicine (miscellaneous) (Q3),Medicine,https://www.anesthesiology.theclinics.com/,home,False
10258_home,2,128,130,0.015384615384615385,10258,sjr_24261,10258,Australasian Journal of Dermatology,journal,"14400960, 00048380","0,504",Q2,59,212,820,2693,851,336,"0,96","12,70",United Kingdom,Western Europe,Wiley-Blackwell,1951-2022,Dermatology (Q2); Medicine (miscellaneous) (Q3),Medicine,https://onlinelibrary.wiley.com/journal/14400960,home,False
10259_home,4,199,203,0.019704433497536946,10259,sjr_145617,10259,Cardiovascular Revascularization Medicine,journal,15538389,"0,504",Q3,40,490,995,9023,1227,779,"1,16","18,41",United States,Northern America,Elsevier,2005-2022,Cardiology and Cardiovascular Medicine (Q3); Medicine (miscellaneous) (Q3),Medicine,https://www.journals.elsevier.com/cardiovascular-revascularization-medicine,home,False
10260_home,368,3081,3449,0.10669759350536387,10260,sjr_21101055706,10260,Children,journal,22279067,"0,504",Q2,41,1996,1649,90833,4125,1615,"2,44","45,51",Switzerland,Western Europe,MDPI AG,2014-2022,"Pediatrics, Perinatology and Child Health (Q2)",Medicine,https://www.mdpi.com/journal/children,home,False
10261_home,7,1108,1115,0.006278026905829596,10261,sjr_14874,10261,Child's Nervous System,journal,"02567040, 14330350","0,504",Q2,91,434,1312,10386,1907,1127,"1,39","23,93",Germany,Western Europe,Springer,1985-2022,"Pediatrics, Perinatology and Child Health (Q2); Medicine (miscellaneous) (Q3); Neurology (clinical) (Q3)",Medicine,https://www.springer.com/journal/381,home,False
10262_home,10,807,817,0.012239902080783354,10262,sjr_17922,10262,"Cryptogamie, Mycologie",journal,01811584,"0,504",Q2,30,4,30,195,41,29,"1,46","48,75",France,Western Europe,A.D.A.C.,"1990-1993, 1995-2022","Ecology, Evolution, Behavior and Systematics (Q2)",Agricultural and Biological Sciences,https://bioone.org/journals/cryptogamie-mycologie,home,False
10265_home,58,796,854,0.06791569086651054,10265,sjr_19700175092,10265,International Journal of Nephrology and Renovascular Disease,journal,11787058,"0,504",Q2,36,32,113,1655,267,113,"2,06","51,72",New Zealand,Pacific Region,Dove Medical Press,2009-2022,Nephrology (Q2),Medicine,https://www.dovepress.com/international-journal-of-nephrology-and-renovascular-disease-journal,home,False
10268_home,4,199,203,0.019704433497536946,10268,sjr_36739,10268,Magnetic Resonance Imaging Clinics of North America,journal,10649689,"0,504",Q2,54,62,188,2777,271,140,"1,30","44,79",United Kingdom,Western Europe,W.B. Saunders Ltd,1993-2022,"Radiology, Nuclear Medicine and Imaging (Q2)",Medicine,https://www.journals.elsevier.com/magnetic-resonance-imaging-clinics-of-north-america,home,False
10271_home,103,956,1059,0.09726156751652502,10271,sjr_17520,10271,Neurologia,journal,"02134853, 15781968","0,504",Q3,46,170,564,5653,728,265,"1,24","33,25",Spain,Western Europe,Elsevier,"1973-1974, 1986-2022",Medicine (miscellaneous) (Q3); Neurology (clinical) (Q3),Medicine,https://www.elsevier.es/es-revista-neurologia-295,home,False
10272_home,238,2146,2384,0.09983221476510067,10272,sjr_14609,10272,Ophthalmic Plastic and Reconstructive Surgery,journal,"15372677, 07409303","0,504",Q2,64,215,775,3345,937,592,"1,16","15,56",United States,Northern America,Lippincott Williams and Wilkins,1984-2022,Ophthalmology (Q2); Surgery (Q2); Medicine (miscellaneous) (Q3),Medicine,https://journals.lww.com/op-rs/pages/default.aspx,home,False
10288_home,18,1130,1148,0.0156794425087108,10288,sjr_20524,10288,BMC Surgery,journal,14712482,"0,502",Q2,57,444,984,12045,2004,981,"1,82","27,13",United Kingdom,Western Europe,BioMed Central Ltd.,2001-2022,Surgery (Q2); Medicine (miscellaneous) (Q3),Medicine,https://bmcsurg.biomedcentral.com/,home,False
10294_home,12,114,126,0.09523809523809523,10294,sjr_21100451649,10294,Evolutionary Behavioral Sciences,journal,"23302933, 23302925","0,502",Q3,22,57,111,3264,169,111,"1,26","57,26",United States,Northern America,American Psychological Association,2014-2022,Experimental and Cognitive Psychology (Q3); Social Psychology (Q3),Psychology,https://www.apa.org/pubs/journals/ebs/,home,False
102_home,2,128,130,0.015384615384615385,102,sjr_14181,102,Annual Review of Neuroscience,journal,"0147006X, 15454126","8,389",Q1,256,27,72,4087,1166,72,"14,22","151,37",United States,Northern America,Annual Reviews Inc.,1978-2022,Neuroscience (miscellaneous) (Q1),Neuroscience,https://www.annualreviews.org/journal/neuro,home,False
10303_home,108,1796,1904,0.05672268907563025,10303,sjr_21100466753,10303,Operative Neurosurgery,journal,"23324252, 23324260","0,502",Q2,31,422,1540,15,1588,910,"0,93","0,04",United States,Northern America,Oxford University Press,2012-2022,Surgery (Q2); Neurology (clinical) (Q3),Medicine,https://academic.oup.com/ons,home,False
10306_home,4,7,11,0.36363636363636365,10306,sjr_19600157763,10306,Research in Pharmaceutical Sciences,journal,"17355362, 17359414","0,502",Q1,38,61,180,2177,475,180,"2,19","35,69",India,Asiatic Region,Wolters Kluwer Medknow Publications,2009-2022,"Pharmacology, Toxicology and Pharmaceutics (miscellaneous) (Q1)","Pharmacology, Toxicology and Pharmaceutics",http://www.rps.mui.ac.ir/index.php/jrps/index,home,False
10308_home,7,2991,2998,0.0023348899266177454,10308,sjr_4000148010,10308,Clinics,journal,"19805322, 18075932","0,501",Q3,73,136,582,4393,1219,470,"2,09","32,30",Brazil,Latin America,University of Sao Paolo,"1945-1946, 2005-2022",Medicine (miscellaneous) (Q3),Medicine,https://www.revistas.usp.br/clinics,home,False
1030_home,3,1616,1619,0.0018529956763434219,1030,sjr_12523,1030,Oncogene,journal,"14765594, 09509232","2,311",Q1,360,439,1522,22776,11777,1513,"7,36","51,88",United Kingdom,Western Europe,Nature Publishing Group,1987-2022,Cancer Research (Q1); Genetics (Q1); Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://www.nature.com/onc/,home,False
10315_home,2,128,130,0.015384615384615385,10315,sjr_26631,10315,Internal Medicine Journal,journal,"14440903, 14455994","0,501",Q3,78,444,1121,10497,1525,773,"1,31","23,64",United Kingdom,Western Europe,Wiley-Blackwell,2001-2022,Internal Medicine (Q3),Medicine,https://onlinelibrary.wiley.com/journal/14455994,home,False
10320_home,7,980,987,0.0070921985815602835,10320,sjr_22447,10320,Journal of the Indian Institute of Science,journal,"00194964, 09704140","0,501",Q1,34,78,169,6319,428,145,"2,16","81,01",India,Asiatic Region,Indian Institute of Science,"1974, 1976-1978, 1983-1984, 1988, 1995-2022",Multidisciplinary (Q1),Multidisciplinary,https://www.springer.com/journal/41745,home,False
1032_home,27,525,552,0.04891304347826087,1032,sjr_19017,1032,RNA,journal,"13558382, 14699001","2,309",Q1,187,121,416,7131,1906,415,"4,29","58,93",United States,Northern America,Cold Spring Harbor Lab Press,1995-2022,Molecular Biology (Q1),"Biochemistry, Genetics and Molecular Biology",https://rnajournal.cshlp.org/,home,False
10332_home,58,747,805,0.07204968944099378,10332,sjr_21100870833,10332,Journal of Cardiovascular Imaging,journal,"25867210, 25867296","0,500",Q2,22,53,162,854,147,76,"0,79","16,11",South Korea,Asiatic Region,Korean Society of Echocardiography,2018-2022,"Radiology, Nuclear Medicine and Imaging (Q2); Cardiology and Cardiovascular Medicine (Q3)",Medicine,https://e-jcvi.org/,home,False
10342_home,4,199,203,0.019704433497536946,10342,sjr_21251,10342,Journal de Mycologie Medicale,journal,"11565233, 17730449","0,499",Q3,39,77,209,2301,676,189,"3,46","29,88",France,Western Europe,Elsevier,1994-2022,Infectious Diseases (Q3),Medicine,https://www.journals.elsevier.com/journal-de-mycologie-medicale,home,False
10345_home,2,128,130,0.015384615384615385,10345,sjr_16815,10345,Journal of Spinal Cord Medicine,journal,"20457723, 10790268","0,499",Q3,73,192,413,6570,810,383,"1,80","34,22",United Kingdom,Western Europe,Maney Publishing,1995-2022,Neurology (clinical) (Q3),Medicine,https://www.tandfonline.com/toc/yscm20/current,home,False
10348_home,2,128,130,0.015384615384615385,10348,sjr_16953,10348,Physiotherapy Theory and Practice,journal,"15325040, 09593985","0,499",Q2,54,571,458,25768,958,452,"1,93","45,13",United Kingdom,Western Europe,Informa Healthcare,1985-2022,"Physical Therapy, Sports Therapy and Rehabilitation (Q2)",Health Professions,https://www.tandfonline.com/loi/iptp20,home,False
10352_home,7,1043,1050,0.006666666666666667,10352,sjr_19141,10352,Applied Entomology and Zoology,journal,"00036862, 1347605X","0,498",Q2,50,40,163,1605,243,162,"1,34","40,13",Japan,Asiatic Region,Springer,1966-2022,Insect Science (Q2),Agricultural and Biological Sciences,https://www.springer.com/journal/13355,home,False
