,resource_category,website_id,page_id,page_type,page_url,rank,sourceid,title,type,issn,sjr,sjr_best_quartile,h_index,total_docs_2022_,total_docs_3years_,total_refs_,total_cites_3years_,citable_docs_3years_,cites_doc_2years_,ref_doc_,region,publisher,coverage,categories,areas,country,url,continent,violations,passes,total_checks,failure_rate
3976,journal,AIDS-Reviews,0,home,http://www.aidsreviews.com/,8692.0,21773.0,AIDS Reviews,journal,"11396121, 16986997","0,593",Q2,59.0,28.0,86.0,947.0,144.0,74.0,"1,60","33,82",Western Europe,Publicaciones Permanyer,2000-2022,Infectious Diseases;Medicine;Pharmacology,Medicine,Spain,http://www.aidsreviews.com/,Europe,44,610,654,0.0672782874617737
3977,journal,AIMS-Agriculture-and-Food,0,home,http://www.aimspress.com/journal/agriculture,12731.0,21100842838.0,AIMS Agriculture and Food,journal,24712086,"0,389",Q2,15.0,58.0,180.0,2924.0,432.0,177.0,"2,24","50,41",Northern America,AIMS Press,2016-2022,Agricultural and Biological Sciences;Food Science,Agricultural and Biological Sciences,United States,http://www.aimspress.com/journal/agriculture,North America,186,1130,1316,0.1413373860182371
3978,journal,AIMS-Biophysics,0,home,http://www.aimspress.com/journal/biophysics,16075.0,21100811140.0,AIMS Biophysics,journal,23779098,"0,272",Q3,17.0,26.0,67.0,876.0,94.0,63.0,"1,49","33,69",Northern America,AIMS Press,2014-2022,Biophysics;Biochemistry;Molecular Biology;Structural Biology,"Biochemistry, Genetics and Molecular Biology",United States,http://www.aimspress.com/journal/biophysics,North America,186,1078,1264,0.14715189873417722
3979,journal,AIMS-Microbiology,0,home,https://www.aimspress.com/journal/microbiology,6150.0,21100903066.0,AIMS Microbiology,journal,24711888,"0,783",Q2,19.0,40.0,85.0,2423.0,426.0,84.0,"5,19","60,58",Northern America,AIMS Press,2015-2022,Microbiology;Microbiology,Immunology and Microbiology; Medicine,United States,https://www.aimspress.com/journal/microbiology,North America,187,1012,1199,0.1559633027522936
3980,journal,AIMS-Neuroscience,0,home,http://www.aimspress.com/journal/neuroscience,10603.0,21100825161.0,AIMS Neuroscience,journal,23737972,"0,485",Q3,16.0,30.0,80.0,2133.0,191.0,74.0,"2,53","71,10",Northern America,AIMS Press,2014-2022,Neuroscience,Neuroscience,United States,http://www.aimspress.com/journal/neuroscience,North America,191,1061,1252,0.152555910543131
3981,journal,AIMS-Public-Health,0,home,https://www.aimspress.com/journal/aimsph,9276.0,21101079127.0,AIMS Public Health,journal,23278994,"0,557",Q2,12.0,54.0,141.0,2450.0,376.0,138.0,"3,06","45,37",Northern America,American Institute of Mathematical Sciences,2022,"Public Health, Environmental and Occupational Health;Health Informatics",Medicine,United States,https://www.aimspress.com/journal/aimsph,North America,191,1094,1285,0.14863813229571984
3982,journal,AJOG-Global-Reports,0,home,https://www.sciencedirect.com/journal/ajog-global-reports,14764.0,21101092528.0,AJOG Global Reports,journal,26665778,"0,312",Q3,4.0,101.0,26.0,2668.0,32.0,26.0,"1,23","26,42",Northern America,Elsevier Inc.,2021-2022,Obstetrics and Gynecology,Medicine,United States,https://www.sciencedirect.com/journal/ajog-global-reports,North America,4,201,205,0.01951219512195122
3983,journal,AJP-Reports,0,home,https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00000169,13920.0,21100348516.0,AJP Reports,journal,"21577005, 21576998","0,341",Q3,12.0,22.0,161.0,472.0,171.0,161.0,"1,00","21,45",Northern America,Thieme Medical Publishers Inc.,2014-2022,"Obstetrics and Gynecology;Pediatrics, Perinatology and Child Health",Medicine,United States,https://www.thieme.com/books-main/obstetrics-and-gynecology/product/2194-ajp-reports,North America,19,632,651,0.029185867895545316
3984,journal,AME-Medical-Journal,0,home,https://amj.amegroups.org/,14767.0,21101048953.0,AME Medical Journal,journal,25200518,"0,312",Q3,4.0,40.0,128.0,1585.0,139.0,90.0,"1,43","39,63",Asiatic Region,AME Publishing Company,2021-2022,Medicine,Medicine,China,https://amj.amegroups.org/,Asia,13,1980,1993,0.006522829904666332
3985,journal,AMHA-Acta-Medico-Historica-Adriatica,0,home,http://www.amha-journal.com/index.php/AMHA,24376.0,5200152838.0,AMHA - Acta Medico-Historica Adriatica,journal,13344366,"0,118",Q4,10.0,20.0,69.0,663.0,17.0,66.0,"0,17","33,15",Eastern Europe,Croatian Scientific Society for the History of Health,2006-2022,Medicine,Medicine,Croatia,http://www.amha-journal.com/index.php/AMHA,Europe,9,428,437,0.020594965675057208
3986,journal,AMIA-Annual-Symposium-proceedings-AMIA-Symposium-AMIA-Symposium,0,home,https://knowledge.amia.org/all-proceedings,11825.0,7400153102.0,AMIA ... Annual Symposium proceedings / AMIA Symposium. AMIA Symposium,journal,"15594076, 1942597X","0,429",Q3,63.0,49.0,424.0,0.0,540.0,424.0,"0,92","0,00",Northern America,American Medical Informatics Association,"2003, 2005-2022",Medicine,Medicine,United States,https://knowledge.amia.org/all-proceedings,North America,16,225,241,0.06639004149377593
3987,journal,ANAE-Approche-Neuropsychologique-des-Apprentissages-chez-l-Enfant,0,home,https://www.anae-revue.com/,24111.0,17515.0,ANAE - Approche Neuropsychologique des Apprentissages chez l'Enfant,journal,0999792X,"0,121",Q4,11.0,56.0,211.0,1932.0,32.0,183.0,"0,19","34,50",Western Europe,Approche Neuropsychologique des Apprentissages chez l'Enfant (A.N.A.E.),1996-2022,Developmental and Educational Psychology;Neuropsychology and Physiological Psychology,Psychology,France,https://www.anae-revue.com/,Europe,397,4830,5227,0.07595178878898029
3988,journal,AORTA,0,home,https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00039245,17097.0,21101038724.0,AORTA,journal,23254637,"0,244",Q3,16.0,35.0,149.0,557.0,108.0,144.0,"0,48","15,91",Northern America,Thieme Medical Publishers Inc.,2013-2022,"Cardiology and Cardiovascular Medicine;Radiology, Nuclear Medicine and Imaging;Surgery",Medicine,United States,https://www.thieme-connect.com/products/ejournals/journal/10.1055/s-00039245,North America,26,718,744,0.03494623655913978
3989,journal,ARYA-Atherosclerosis,0,home,https://arya.mui.ac.ir/,16815.0,21100199106.0,ARYA Atherosclerosis,journal,"22516638, 17353955","0,251",Q3,25.0,59.0,119.0,1446.0,107.0,111.0,"0,64","24,51",Middle East,Isfahan Cardiovascular Research Center,"2007, 2011-2022",Cardiology and Cardiovascular Medicine,Medicine,Iran,http://arya.mui.ac.ir/index.php/arya,Asia,51,995,1046,0.04875717017208413
3990,journal,Abdominal-Radiology,0,home,https://link.springer.com/journal/261,6161.0,21100454916.0,Abdominal Radiology,journal,"23660058, 2366004X","0,782",Q1,83.0,417.0,1531.0,14209.0,3784.0,1404.0,"2,36","34,07",Northern America,Springer New York,2016-2022,"Urology;Gastroenterology;Radiological and Ultrasound Technology;Radiology, Nuclear Medicine and Imaging",Health Professions; Medicine,United States,https://link.springer.com/journal/261,North America,1,1186,1187,0.0008424599831508003
3991,journal,Academic-Psychiatry,0,home,https://link.springer.com/journal/40596,7377.0,17539.0,Academic Psychiatry,journal,"15457230, 10429670","0,680",Q2,53.0,209.0,503.0,3396.0,685.0,248.0,"1,31","16,25",Western Europe,Springer International Publishing AG,1989-2022,Medicine;Psychiatry and Mental Health,Medicine; Social Sciences,Switzerland,https://www.springer.com/journal/40596,Europe,4,1162,1166,0.003430531732418525
3992,journal,Acarina,0,home,https://acarina.utmn.ru/,10792.0,19700173205.0,Acarina,journal,"22215115, 01328077","0,475",Q2,16.0,20.0,59.0,446.0,34.0,59.0,"0,70","22,30",Eastern Europe,Tyumen State University,2009-2022,Insect Science,Agricultural and Biological Sciences,Russia,https://acarina.utmn.ru/,Asia,21,264,285,0.07368421052631578
3993,journal,Acarologia,0,home,https://www1.montpellier.inra.fr/CBGP/acarologia/,9274.0,24078.0,Acarologia,journal,"0044586X, 21077207","0,557",Q2,26.0,84.0,162.0,3123.0,159.0,161.0,"1,10","37,18",Western Europe,Les Amis d'Acarologia,"1965-1985, 1987, 1994-2008, 2010-2022",Insect Science,Agricultural and Biological Sciences,France,https://www1.montpellier.inra.fr/CBGP/acarologia/,Europe,67,600,667,0.10044977511244378
3994,journal,Acrocephalus,0,home,https://sciendo.com/journal/ACRO,26415.0,20956.0,Acrocephalus,journal,03512851,"0,102",Q4,5.0,0.0,17.0,0.0,3.0,17.0,"0,22","0,00",Northern America,Drustvo za Opazovanje in Proucevanje Ptic Slovenije/Bird Watching and Bird Study Association of Slovenia,"1996, 2016-2020",Animal Science and Zoology,Agricultural and Biological Sciences,United States,https://content.sciendo.com/view/journals/acro/acro-overview.xml,North America,46,1234,1280,0.0359375
3995,journal,Acta-Acustica,0,home,https://acta-acustica.edpsciences.org/,14297.0,21101052930.0,Acta Acustica,journal,"10224793, 26814617","0,327",Q2,63.0,55.0,212.0,2398.0,261.0,208.0,"1,51","43,60",Western Europe,EDP Sciences,2020-2022,Speech and Hearing,Computer Science; Engineering; Health Professions; Physics and Astronomy,France,https://acta-acustica.edpsciences.org/,Europe,15,592,607,0.02471169686985173
3996,journal,Acta-Agriculturae-Slovenica,0,home,http://ojs.aas.bf.uni-lj.si/index.php/AAS,20480.0,12000154412.0,Acta Agriculturae Slovenica,journal,"18541941, 15819175","0,175",Q4,22.0,72.0,223.0,3045.0,137.0,223.0,"0,53","42,29",Eastern Europe,University of Ljubljana,2008-2022,Agricultural and Biological Sciences,Agricultural and Biological Sciences; Environmental Science,Slovenia,http://ojs.aas.bf.uni-lj.si/index.php/AAS,Europe,28,480,508,0.05511811023622047
3997,journal,Acta-Agrobotanica,0,home,https://pbsociety.org.pl/journals/index.php/aa/index,11276.0,21100439337.0,Acta Agrobotanica,journal,"2300357X, 00650951","0,452",Q2,16.0,9.0,91.0,329.0,167.0,90.0,"1,36","36,56",Eastern Europe,Polish Botanical Society,"1953-1962, 1964-1979, 1987, 2013-2022",Agronomy and Crop Science;Plant Science,Agricultural and Biological Sciences,Poland,https://pbsociety.org.pl/journals/index.php/aa/index,Europe,32,496,528,0.06060606060606061
3998,journal,Acta-Agronomica,0,home,https://revistas.unal.edu.co/index.php/acta_agronomica,22148.0,65755.0,Acta Agronomica,journal,"00445959, 01202812","0,146",Q4,12.0,5.0,125.0,156.0,57.0,125.0,"0,32","31,20",Latin America,Universidad Nacional de Colombia,"1968, 2012-2022",Agronomy and Crop Science,Agricultural and Biological Sciences,Colombia,https://revistas.unal.edu.co/index.php/acta_agronomica,South America,64,1405,1469,0.043567052416609936
3999,journal,Acta-Alimentaria,0,home,https://akjournals.com/view/journals/066/066-overview.xml?rskey=k4UGYp&result=3,17628.0,20860.0,Acta Alimentaria,journal,"01393006, 15882535","0,231",Q3,32.0,61.0,179.0,1488.0,215.0,178.0,"1,08","24,39",Eastern Europe,Akademiai Kiado,"1973-1975, 1996-2022",Food Science,Agricultural and Biological Sciences,Hungary,https://akjournals.com/view/journals/066/066-overview.xml?rskey=k4UGYp&result=3,Europe,101,1556,1657,0.06095353047676524
4000,journal,Acta-Amazonica,0,home,https://acta.inpa.gov.br/,16040.0,18748.0,Acta Amazonica,journal,00445967,"0,273",Q3,36.0,47.0,145.0,1842.0,145.0,145.0,"0,85","39,19",Latin America,Instituto Nacional de Pesquisas da Amazonia,"1979, 2006-2022",Agricultural and Biological Sciences,Agricultural and Biological Sciences,Brazil,https://acta.inpa.gov.br/,South America,35,246,281,0.12455516014234876
4001,journal,Acta-Anatomica-Sinica,0,home,http://jpxb.bjmu.edu.cn/CN/0529-1356/home.shtml,26717.0,4000151906.0,Acta Anatomica Sinica,journal,05291356,"0,101",Q4,7.0,0.0,131.0,0.0,7.0,131.0,"0,00","0,00",Asiatic Region,Chinese Medical Association,"2006-2017, 2019-2020",Anatomy;Histology;Structural Biology,"Biochemistry, Genetics and Molecular Biology; Medicine",China,http://jpxb.bjmu.edu.cn/CN/0529-1356/home.shtml,Asia,199,1484,1683,0.11824123588829472
4002,journal,Acta-Angiologica,0,home,https://journals.viamedica.pl/acta_angiologica,24534.0,144841.0,Acta Angiologica,journal,"1234950X, 16443276","0,116",Q4,7.0,18.0,56.0,342.0,13.0,55.0,"0,17","19,00",Eastern Europe,Via Medica,2005-2022,Cardiology and Cardiovascular Medicine,Medicine,Poland,https://journals.viamedica.pl/acta_angiologica,Europe,116,444,560,0.20714285714285716
4003,journal,Acta-Arachnologica,0,home,https://www.arachnology.jp/AA-e.php?n=0,13753.0,69489.0,Acta Arachnologica,journal,00015202,"0,347",Q3,16.0,23.0,54.0,413.0,23.0,54.0,"0,46","17,96",Asiatic Region,Arachnological Society of Japan,"1936-1942, 1944, 1947-1955, 1957-1961, 1963-1978, 1980-2022",,Agricultural and Biological Sciences,Japan,http://www.arachnology.jp/AA-e.php?n=0,Asia,13,139,152,0.08552631578947369
4004,journal,Acta-Biochimica-Polonica,0,home,http://www.actabp.pl/,11419.0,16753.0,Acta Biochimica Polonica,journal,"1734154X, 0001527X","0,446",Q3,87.0,124.0,270.0,4419.0,612.0,270.0,"1,64","35,64",Eastern Europe,Acta Biochimica Polonica,1955-2022,"Biochemistry, Genetics and Molecular Biology","Biochemistry, Genetics and Molecular Biology",Poland,http://www.actabp.pl/,Europe,13,54,67,0.19402985074626866
4005,journal,Acta-Bioethica,0,home,https://actabioethica.uchile.cl/,23565.0,10600153355.0,Acta Bioethica,journal,"1726569X, 07175906","0,128",Q4,10.0,36.0,93.0,1040.0,29.0,75.0,"0,38","28,89",Latin America,Universidad de Chile - Centro Interdisciplinario de Estudios en Bioetica,2007-2022,Health Policy;Health,Medicine; Social Sciences,Chile,https://actabioethica.uchile.cl/,South America,114,829,943,0.12089077412513255
4006,journal,Acta-Biologica-Colombiana,0,home,https://revistas.unal.edu.co/index.php/actabiol,18257.0,17600155203.0,Acta Biologica Colombiana,journal,"0120548X, 19001649","0,218",Q3,17.0,50.0,152.0,2117.0,117.0,149.0,"0,70","42,34",Latin America,Universidad Nacional de Colombia,2008-2022,Agricultural and Biological Sciences,Agricultural and Biological Sciences,Colombia,https://revistas.unal.edu.co/index.php/actabiol,South America,67,1160,1227,0.05460472697636512
4007,journal,Acta-Biologica-Cracoviensia-Series-Botanica,0,home,https://journals.pan.pl/dlibra/journal/94503,16072.0,16199.0,Acta Biologica Cracoviensia Series Botanica,journal,"18980295, 00015296","0,272",Q3,33.0,4.0,29.0,131.0,54.0,29.0,"2,75","32,75",Eastern Europe,"Polish Academy of Sciences, Biological Commission",1996-2021,Plant Science,Agricultural and Biological Sciences,Poland,http://journals.pan.pl/dlibra/journal/94503,Europe,46,696,742,0.06199460916442048
4008,journal,Acta-Biologica-Sibirica,0,home,https://abs.pensoft.net/,13779.0,21101021170.0,Acta Biologica Sibirica,journal,24121908,"0,346",Q3,4.0,58.0,77.0,1849.0,47.0,77.0,"0,62","31,88",Eastern Europe,Altai State University,2020-2022,Animal Science and Zoology;Insect Science;Plant Science,Agricultural and Biological Sciences; Environmental Science,Russia,https://abs.pensoft.net/,Asia,13,329,342,0.038011695906432746
4009,journal,Acta-Biologica-Szegediensis,0,home,https://abs.bibl.u-szeged.hu/index.php/abs,19530.0,87723.0,Acta Biologica Szegediensis,journal,"15884082, 1588385X","0,193",Q3,31.0,12.0,74.0,329.0,46.0,74.0,"0,56","27,42",Eastern Europe,University of Szeged,1997-2021,"Agricultural and Biological Sciences;Biochemistry, Genetics and Molecular Biology","Agricultural and Biological Sciences; Biochemistry, Genetics and Molecular Biology",Hungary,http://abs.bibl.u-szeged.hu/index.php/abs,Europe,5,460,465,0.010752688172043012
4010,journal,Acta-Biomedica,0,home,https://www.mattioli1885journals.com/index.php/actabiomedica,10845.0,28021.0,Acta Biomedica,journal,03924203,"0,472",Q3,48.0,336.0,1414.0,9446.0,4230.0,1267.0,"3,21","28,11",Western Europe,Mattioli1885,1973-2022,Medicine,Medicine,Italy,https://www.mattioli1885journals.com/index.php/actabiomedica,Europe,70,1164,1234,0.05672609400324149
4011,journal,Acta-Biomedica-Scientifica,0,home,https://www.actabiomedica.ru/jour,24816.0,21101032721.0,Acta Biomedica Scientifica,journal,"25419420, 25879596","0,114",Q4,5.0,187.0,414.0,5362.0,78.0,412.0,"0,22","28,67",Eastern Europe,Scientific Centre for Family Health and Human Reproduction Problems,2017-2022,"Biochemistry, Genetics and Molecular Biology;Immunology and Microbiology","Biochemistry, Genetics and Molecular Biology; Immunology and Microbiology",Russia,https://www.actabiomedica.ru/jour,Asia,352,1555,1907,0.18458311484006293
4012,journal,Acta-Biotheoretica,0,home,https://link.springer.com/journal/10441,15827.0,12456.0,Acta Biotheoretica,journal,"00015342, 15728358","0,279",Q2,38.0,26.0,77.0,1461.0,82.0,75.0,"1,16","56,19",Western Europe,Springer Netherlands,"1935-1943, 1946-1949, 1951-1953, 1955-1965, 1967-1988, 1990-2022","Agricultural and Biological Sciences;Biochemistry, Genetics and Molecular Biology;Medicine","Agricultural and Biological Sciences; Arts and Humanities; Biochemistry, Genetics and Molecular Biology; Environmental Science; Mathematics; Medicine",Netherlands,https://www.springer.com/journal/10441,Europe,1,1071,1072,0.0009328358208955224
4013,journal,Acta-Botanica-Brasilica,0,home,https://acta.botanica.org.br/,11838.0,4800153106.0,Acta Botanica Brasilica,journal,01023306,"0,428",Q2,53.0,98.0,190.0,5501.0,322.0,190.0,"1,48","56,13",Latin America,Sociedade Botanica de Sao Paulo,1997-2022,Plant Science,Agricultural and Biological Sciences,Brazil,https://acta.botanica.org.br/,South America,35,273,308,0.11363636363636363
4014,journal,Acta-Botanica-Croatica,0,home,https://www.abc.botanic.hr/index.php/abc,15828.0,16201.0,Acta Botanica Croatica,journal,"03650588, 18478476","0,279",Q3,27.0,26.0,79.0,1056.0,109.0,78.0,"1,25","40,62",Eastern Europe,University of Zagreb,"1980-1983, 1985, 1996, 1998-2022",Plant Science,Agricultural and Biological Sciences,Croatia,http://www.abc.botanic.hr/index.php/abc,Europe,48,811,859,0.05587892898719441
4015,journal,Acta-Botanica-Hungarica,0,home,https://akjournals.com/view/journals/034/034-overview.xml,10105.0,16209.0,Acta Botanica Hungarica,journal,"15882578, 02366495","0,512",Q2,24.0,15.0,71.0,592.0,83.0,71.0,"0,83","39,47",Eastern Europe,Akademiai Kiado,"1986-1989, 2001-2004, 2007-2022",Plant Science,Agricultural and Biological Sciences,Hungary,https://akjournals.com/view/journals/034/034-overview.xml,Europe,100,1484,1584,0.06313131313131314
4016,journal,Acta-Botanica-Mexicana,0,home,https://abm.ojs.inecol.mx/index.php/abm,16745.0,19200156903.0,Acta Botanica Mexicana,journal,"24487589, 01877151","0,253",Q3,17.0,50.0,162.0,2569.0,133.0,162.0,"0,64","51,38",Latin America,"Instituto de Ecologia, A.C.",2008-2022,Plant Science,Agricultural and Biological Sciences,Mexico,http://abm.ojs.inecol.mx/index.php/abm,North America,44,3484,3528,0.012471655328798186
4017,journal,Acta-Botanica-Venezuelica,0,home,http://saber.ucv.ve/ojs/index.php/rev_abv/index,26019.0,17600155121.0,Acta Botanica Venezuelica,journal,"24434264, 00845906","0,104",Q4,8.0,5.0,8.0,102.0,1.0,7.0,"0,20","20,40",Latin America,Universidad Central de Venezuela,"2008-2011, 2013-2022",Plant Science,Agricultural and Biological Sciences,Venezuela,http://saber.ucv.ve/ojs/index.php/rev_abv/index,South America,5,410,415,0.012048192771084338
4018,journal,Acta-Cardiologica-Sinica,0,home,https://www.tsoc.org.tw/index_en.php,14004.0,20701.0,Acta Cardiologica Sinica,journal,10116842,"0,338",Q3,22.0,97.0,252.0,2879.0,340.0,183.0,"1,34","29,68",Asiatic Region,Republic of China Society of Cardiology,1988-2022,Cardiology and Cardiovascular Medicine,Medicine,Taiwan,http://www.tsoc.org.tw/index.php?action=journal&lang=en,Asia,19,464,483,0.039337474120082816
4019,journal,Acta-Chirurgiae-Orthopaedicae-et-Traumatologiae-Cechoslovaca,0,home,https://achot.cz/,19795.0,38410.0,Acta Chirurgiae Orthopaedicae et Traumatologiae Cechoslovaca,journal,00015415,"0,188",Q3,27.0,63.0,196.0,1412.0,96.0,193.0,"0,47","22,41",Eastern Europe,Galen s.r.o.,"1950-1991, 1993-1994, 1996-2022",Surgery;Medicine;Orthopedics and Sports Medicine,Medicine,Czech Republic,http://www.achot.cz/,Europe,23,224,247,0.0931174089068826
4020,journal,Acta-Clinica-Croatica,0,home,http://actaclinica.eu/,16041.0,26518.0,Acta Clinica Croatica,journal,"03539466, 13339451","0,273",Q3,25.0,112.0,398.0,3033.0,389.0,395.0,"0,62","27,08",Eastern Europe,Klinicka Bolnica Sestre Milosrdnice,1993-2022,Medicine,Medicine,Croatia,http://actaclinica.eu/,Europe,5,90,95,0.05263157894736842
4021,journal,Acta-Comportamentalia,0,home,https://actacomportamentalia.cucba.udg.mx/index.php/acom,19531.0,5700169412.0,Acta Comportamentalia,journal,01888145,"0,193",Q2,4.0,27.0,91.0,1082.0,19.0,91.0,"0,15","40,07",Latin America,Universidad Nacional Autonoma de Mexico,2017-2022,Linguistics and Language;Applied Psychology;Developmental and Educational Psychology,Psychology; Social Sciences,Mexico,http://www.revistas.unam.mx/index.php/acom,North America,10,550,560,0.017857142857142856
4022,journal,Acta-Crystallographica-Section-F-Structural-Biology-Communications,0,home,https://journals.iucr.org/f/index.html,11000.0,21100326880.0,Acta Crystallographica Section F:Structural Biology Communications,journal,2053230X,"0,465",Q2,42.0,52.0,260.0,1676.0,242.0,248.0,"0,85","32,23",Western Europe,John Wiley and Sons Ltd,2014-2022,Biochemistry;Biophysics;Genetics;Medicine;Structural Biology,"Biochemistry, Genetics and Molecular Biology; Medicine; Physics and Astronomy",United Kingdom,https://journals.iucr.org/f/index.html,Europe,119,1696,1815,0.06556473829201102
